,number,content,content
index:,10,"בכל עת שיעלה גביות מד אין ליתן גוף כ ת ב ב''ד לשום א׳ מהצדדי', כי אם העתק בלתי מקויים ח׳״ הב''ד להראותו לעיני ראשי׳ ומנהיגי׳ ...","בכל עת שיעלה גביות מד אין ליתן גוף כ ת ב ב''ד לשום א׳ מהצדדי', כי אם העתק בלתי מקויים ח׳״ הב''ד להראותו לעיני ראשי׳ ומנהיגי׳ ב''ד שלו, למען יראו בדבריו קצת ממש שראוי להזמין את בעל דינו או לסדר טענותיו; וגוף כתב מב״ד יהא מונח במקומו עד שיעלה כתב מראשי׳ או דייני׳ כדת מה לעשות, אם ליתן אותו להתובע או לשלחו ע״י איש נאמן. "
index:,11,"שום אדם הן יחיד הן רבים לא יביאו פסקים ודעות על שום פסק ב''ד [פסק דין] ממקומות אחרים או ממדינות אחרות הן מרבנים הן ממנהיגיס, ...","שום אדם הן יחיד הן רבים לא יביאו פסקים ודעות על שום פסק ב''ד [פסק דין] ממקומות אחרים או ממדינות אחרות הן מרבנים הן ממנהיגיס, [וכל] העובר יהא מוחרם ומנודה בשני עולמות. טד אם יזמין א׳ את חבירו שלא כדין לפי ראות עיני הדיינים ישלם להנתבע ההזיקות לפי ראות הדיינים; ואם איש עני הוא ואין ידו משגת לשלם ההיזק אזי יוכרז עליו חרם או ישב בתפיסה מב ימי' במםפר הפרםאות שהלך ובא התובע [הנתבע] מחמת הזמנתו. במשפט הזה באם הנתבע גרם הוצא׳ חנם להתובע לשלוח אחריו הזמנה שלא פרע לזמנו ע״פ משמעות הש''ח שביד התובע עליו ואין להנתבע שום טענה נגד הש״^ ישלם הנתבע להתובע הוצאות ההזמגה שגרם לו לפי ראות הדיינים. "
index:,12,"איש מוחרם שלא יתיר נידוייו תוך ל׳ יום, והב''ד הסמוך יראו ויחזו אשר בזדון עומד במרדו ויש לאל ידו [גם אינו רוצה] לסלק את חובו, ...","איש מוחרם שלא יתיר נידוייו תוך ל׳ יום, והב''ד הסמוך יראו ויחזו אשר בזדון עומד במרדו ויש לאל ידו [גם אינו רוצה] לסלק את חובו, הרשות לצאת נגדו בעש''ג; ואם לא יוםר באלה ויעמוד עוד במרדו שלא להתיד נידוייו וימשוך נדוייו משך רביעי׳ שנה.הרשות נתונה להשיג גבול אראנדה שלו לשכור אותה ולהוציאה מידו ולהזייקו בכל מה דאפשר [ולהחזיקו בכל מקום]. זה יהי׳ [כפי] משפט לוה רשע ולא ישלם במרד ובמעל. אכן איש עני ורש שגלוי וידוע שאין לו, דין ישראל יעשו לו ולא יותר. וכל משך ימי נידוייו יחדש עליו השמש כרוז חרם פעמים ושלוש לכל שבועה [שבוע] ושבועה, דהיינו בכל יום ב׳ וה׳ ויום השבת קודם ברכו. "
index:,13,"איש אשר ימעול מעל בחרם שלא ינהג משפטי דת החרם כמוחרם [במוחרם], אחרי שנודע שיצא עליו קלא דשמתא הן כדבור הן במעשה משא ומתן הן ...","איש אשר ימעול מעל בחרם שלא ינהג משפטי דת החרם כמוחרם [במוחרם], אחרי שנודע שיצא עליו קלא דשמתא הן כדבור הן במעשה משא ומתן הן בצירף מנין או כל דבר קדושה או יתר משפטי החרם, אחת דתו לשלם החוב להתובע. "
index:,14,איש אשר יצא עליו פתקא דשמתא מלובליןא) מחמת שלא ציית דין דפ הזמנה דייני ג׳ ארצות ויתן אמתלא לדבריו שלא הי׳ לאל ידיו לבוא ליום ...,"איש אשר יצא עליו פתקא דשמתא מלובליןא) מחמת שלא ציית דין דפ הזמנה דייני ג׳ ארצות ויתן אמתלא לדבריו שלא הי׳ לאל ידיו לבוא ליום המועד ויתן דבריו לעמוד בלובלין ליריד הסמוך, ואז יונח [ינוח] לו להתיר נידוייו, ובאופן שיתן ערב מספיק להקהל שלו על קיום דבריו לצ''ד (לציית דין) בקךק לובלין ליריד הסמוך. ואם לא יאמין דבריו לבא ליריד המל הסמוך ישלם הערב בעדו את חובו. ואם איש עני ורש הולך בתומו אשר גלוי וידוע שאין לו מזומני' ולא כסף וזהב ושוה כסף ויצא עליו פתקא דשמתא מלובלין, יהא שרוי בנידוייו משך שבעה ימים מיום שהוכרז עליו בעירו ואח''כ יונח לו להיות נקי מהעונש• "
index:,15,"ראשי כל קהלה וקהלה יתנו עיניהם ולבם על האנשים הנלכדי׳ במצודו׳ החרם, שישב פנימה ואל יתערב בין הבריות, שלא יכשלו בו רבים. ...","ראשי כל קהלה וקהלה יתנו עיניהם ולבם על האנשים הנלכדי׳ במצודו׳ החרם, שישב פנימה ואל יתערב בין הבריות, שלא יכשלו בו רבים. "
index:,16,"איש אשר יטעון טענת אין לי, ולא נשמע ולא נראה לו .שום סיבה בהיזק ידועה לא בשרפה ולא בגזל וחמס ולא בטביע׳ מים וכיוצא בזה שאר ...","איש אשר יטעון טענת אין לי, ולא נשמע ולא נראה לו .שום סיבה בהיזק ידועה לא בשרפה ולא בגזל וחמס ולא בטביע׳ מים וכיוצא בזה שאר אונסין בהפסדי׳ דמוכח, אחת דתו להיות חבוש בתפיםת המבצר משך שלשה חדשים רצופי'. לעשות םדר נל]בע״ח ולשבע שבועת אין לי יעשה דוקא בקהלות ראש ב״ד שלו וגם לישב בתפיםה ראש ב'יד שלו, ומנהיגי אותה יהקהלה שהלוה שם יתנו יד ועזר להביאו ולהגיעו לראש ב״ד יצ''ו. "
index:,17,"גביות ב״ד בסביבות ישבו עליו ראשים או דיינ׳ הכשרים וחזן ושמש ומלמד ודוגמא שאר בני אדם אשר חזקת כשרות עליהם ויודעים לקרות, ואם ...","גביות ב״ד בסביבות ישבו עליו ראשים או דיינ׳ הכשרים וחזן ושמש ומלמד ודוגמא שאר בני אדם אשר חזקת כשרות עליהם ויודעים לקרות, ואם אין שם אנשים כאלה ילכו לב'ד הסמוך. ואם הנ״ד רחוק מהם ישתדלו לה׳ [להם] אנשים הגונים הידועי׳ ונכרים [וניכרים] ויודעים לקרות. "
index:,18,ג׳ קהלות ראשי בתי דינין איש אשר ירצה לציית דין תכף ומיד ידונו אותו תכף ומיד ע'פ גביות ב״^ מלבד אם העדים נחוצי׳ לדרכם ולא יהי׳...,ג׳ קהלות ראשי בתי דינין איש אשר ירצה לציית דין תכף ומיד ידונו אותו תכף ומיד ע'פ גביות ב״^ מלבד אם העדים נחוצי׳ לדרכם ולא יהי׳ מצוי׳ יגבו ב״ד. ועכ'פ רשות ביד מנהיגי הקהל והסביבות שבאו אל קהלות לגבות ב''ד יקחו תחלח רשות ממנהיגי הקהלה והם יתנו להם רשות. 
index:,19,בורח אין ליתן לו םחורה או מעות על עסק משא ומתן עד שילך תחלה לפני הראשים וישבע שהמעות או הסחורה הוא שלו ואין ערמה בדבר. ...,בורח אין ליתן לו םחורה או מעות על עסק משא ומתן עד שילך תחלה לפני הראשים וישבע שהמעות או הסחורה הוא שלו ואין ערמה בדבר. 
index:,20,"בורח שנתפשר לזמנו או שהניחוהו לו מחובו ואח''כ נודע שהפשרה היתה בטעות ובמרמה כי הי׳ לו לפרוע, הרי הפשר׳ בטעות ובטלה וישלם ע''...","בורח שנתפשר לזמנו או שהניחוהו לו מחובו ואח''כ נודע שהפשרה היתה בטעות ובמרמה כי הי׳ לו לפרוע, הרי הפשר׳ בטעות ובטלה וישלם ע''פ משמעות שטר הראשון. "
index:,21,"מי שמקבל מעות או סחורה מפריץ או מסחורה[מסוחר]גוי ועושה חוב, כמשפט הזה מי שמקבל אוראנדא אומבםמיד שר או פריץ או שאר גוי ורואים ...","מי שמקבל מעות או סחורה מפריץ או מסחורה[מסוחר]גוי ועושה חוב, כמשפט הזה מי שמקבל אוראנדא אומבםמיד שר או פריץ או שאר גוי ורואים שכונתו ומחשבתו להרע ולא להטיב כ''א לכלות קרנא ולא לשלם, הרי מנהיגי הקהלה מחויבי' להגיד להפריץ או להסוחר שבל יכניס [לבל יכנום] בחוב, ואם יראו המנהיגי' שאין הפריץ או הסוחר משגיחי׳ ומאמינים לו אף אחר אמירתם, מחויבי׳ מנהיגי׳ להוציא וליקח מידו הסחורה או אוראנדא ולבטל העסק ביש ההוא ביד חזקה ובזרוע נטויה כדי להחזיר להפריץ או לםוחר העסק הנ״^ למען לא יגיע מזה היזק לאחריו. כן כל גרם היזק הדומה לזה. כד אודו׳ השטרות שמביאי׳ ממקומו׳ אחרים על איזה אנשים בלתי אמודים, אם אין רואים במעשיו להכעיס ולא לקנאות וגם לא מקבל עליו שכר רק מה שהביא לגמול חםד עם קרובו בעל השטר, הרשות לתבוע באותו שטר. "
index:,22,"איש אשר יעשה הדבר הרע הזה להדר אחרי שום זיוף בשטר או בחתימות או בשאר שום זיוף שבעולם, או איש כי יזיד להעלות פרעסידענציא ...","איש אשר יעשה הדבר הרע הזה להדר אחרי שום זיוף בשטר או בחתימות או בשאר שום זיוף שבעולם, או איש כי יזיד להעלות פרעסידענציא בערכאות של גוים על שום בר ישראל, מחויבי׳ הקהל שלו לצאת נגדו בחרמות להדפו ולרדוף [ולרדפו] עד חרמה ואפילו למסרו בידי גוים לבער חקוצים מן הכרם. "
index:,23,"איש אמיד אשר יש לאל ידו לשלם ומעכב הפרעון ויורד לדין, ויראה בעיני הדיין אשר בזדון עכב הפךעון לאשתמוטי אף שהי׳ לאל ידו לשלם, ...","איש אמיד אשר יש לאל ידו לשלם ומעכב הפרעון ויורד לדין, ויראה בעיני הדיין אשר בזדון עכב הפךעון לאשתמוטי אף שהי׳ לאל ידו לשלם, הרי על הדייני׳ ליקח ממנו קנם לצדקה ששה גץ [ג׳] מכל שוק [שאק] ושוקא) כפי מםפר השוק אשר בחוב בלי הנחה [כל הנ״ח]. "
index:,24,בן עיר עם בו עיר יעמוד בו ג׳ ימיםב); בן עיר עם אורח רק מעת לעת; ואם יעמוד שיעור זה בםרבנות יוכרז עליו חרם. ...,בן עיר עם בו עיר יעמוד בו ג׳ ימיםב); בן עיר עם אורח רק מעת לעת; ואם יעמוד שיעור זה בםרבנות יוכרז עליו חרם. 
index:,25,ש''ח או ממר״ן [ממו'ן].ג) יעשח בו התראה ללוה ע'פ השמש.ואם יש לו דין ודברים נגד השטר יש ללוה להושיב דייני' תוך מע''ל [מעל״^ ...,"ש''ח או ממר״ן [ממו'ן].ג) יעשח בו התראה ללוה ע'פ השמש.ואם יש לו דין ודברים נגד השטר יש ללוה להושיב דייני' תוך מע''ל [מעל״^ ולדבר עמו משפטי׳, ואם לא יושיב דייני' תוך מע''ל יוכרז עליו חרם עץפ השמש תכף ומיד כאלו נפסק בב''ד. "
index:,26,"בחור אשר איננו בן שמנה עשר שנים שותחתן בזיווג בלי ידיעת אביו, או קרוביו אם אין לו אב, [אין בו ממש ו]אין במעשיו כלום. ...","בחור אשר איננו בן שמנה עשר שנים שותחתן בזיווג בלי ידיעת אביו, או קרוביו אם אין לו אב, [אין בו ממש ו]אין במעשיו כלום. "
index:,27,"ש''ח על בחור אשר יעשה בלי ידיעת אביו או אב'ד בצירוף הראש או קרוביו אין בו ממש, ואין לשום ב''ד להשתדל בו. ...","ש''ח על בחור אשר יעשה בלי ידיעת אביו או אב'ד בצירוף הראש או קרוביו אין בו ממש, ואין לשום ב''ד להשתדל בו. "
index:,28,"שדכנות אשר נגמר תוך עשרי׳ פרםאות-מכל מאה ומאה מ''ח ג׳ פדד), ומעשרים פרסאות ולמעלה והשדכן הוציא עליו הוצאה-מכל מאה ומאה שאק ...","שדכנות אשר נגמר תוך עשרי׳ פרםאות-מכל מאה ומאה מ''ח ג׳ פדד), ומעשרים פרסאות ולמעלה והשדכן הוציא עליו הוצאה-מכל מאה ומאה שאק לי(טא). ואין ליתן מתכשיטין שדכנות. מתחיל וגומר יחלקו ביניהם השדכנות, ואין שם מתחיל [נקרא] עד שיזכיר בפני הצדדי׳ םך הגדוני' והצדדי׳ ישיבו על דבריו. ואין לאמצעי מאומה בשדכנות, ואין הצדדים צריכין להגיד לו [כי אין להצדדים צורך בו] שכבר קדמו שדכן אחר. וכששניהם מכגיםי׳ ממון אין שכירות [שכר] שדכנות עולה [נגבה] מא מצד אחד היותר גדול. ואם יעלו ויפלו חילוקי׳ בין השדכנים יניחו הצדדין שכר שדכנות בב'ד ואח''ב נאמניס לומר מי ומי המתחיל או חגומר או שניהם כאחד [שוים בזה]. ואם יש צד קורבה לאחד מן הצדדים יגיד הקרוב ע״פ החרם. ואם יש לשניהם צד קורבה יגידו שניהם ע״פ השבועך. ואין לשום [שום] אחד מהצדדי׳ צריך ליתן להשדכן יותר על חק וקצוב, אף אם מבטיח על יותר, ואפי' נת[ לו ת''כ הרי הוא בטל מעיקרא כדין הפקר ב״ד הפקר. ואין לשום ב''ד לפםק לו מאומה על המותר. בוועד אב שפ״ח נעשה ליתן גם מתכשיטין במלואו ומםפרים. שדכן או סרסור שהבטיח לא׳ מהצדדים שלא ליקח ממנו דמי שדכנות או סרםרות, הן שיבטיחנו על כך באמצע, יוחשב הכל לפסומי מילי ואין לו אלא לשלם כאלו לא הבטיחו. "
index:,29,"שכרםרםרות מםחורו׳ חצי זהו׳ מכל צד מכל מאה ומאה זהו׳, ומקרקעו׳ ומקומו׳ ב״הה) בכלל קרקעו׳ מכל מאה ומאה זהו׳ ארבעי׳ גפו׳ [מ׳ ג''...","שכרםרםרות מםחורו׳ חצי זהו׳ מכל צד מכל מאה ומאה זהו׳, ומקרקעו׳ ומקומו׳ ב״הה) בכלל קרקעו׳ מכל מאה ומאה זהו׳ ארבעי׳ גפו׳ [מ׳ ג''פ] כמשפט שדכנות בכל הנזכר. "
index:,30,שדכנים שיעלו מום במשפחות וביחידי׳ להבאיש ריח הבריות יעמידו ע''פ תיקון מדינות פולין ודתו. ...,שדכנים שיעלו מום במשפחות וביחידי׳ להבאיש ריח הבריות יעמידו ע''פ תיקון מדינות פולין ודתו. 
index:,31,"מי שמת ולא העמיד אםטרופםי׳ בחייו, הרי על הב''ד לסגור כל חדריו וגנזיו תכף אחר מיתהו ולהעלות כל העזבון בכתב אמת ולמנות עליו ...","מי שמת ולא העמיד אםטרופםי׳ בחייו, הרי על הב''ד לסגור כל חדריו וגנזיו תכף אחר מיתהו ולהעלות כל העזבון בכתב אמת ולמנות עליו אפטרופםי׳ אנשים אמודים ובטוחים דשרי [דשוי] נכסייהו כפי הדין, ושישגיחו עבור היתומים לעשות פירות, ולמנות ע״' [ע״^ רואי חשבונו׳ שיקבלו חשבון מהאפטרופםי׳. וכל קהלה מג׳ קהלות מחויבים להעמיד בשעת בוררים ג׳ אבי יתומים שיקבלו חשבון מהאפטרופםים מידי שנה בשנה ולכתוב בפנקס שלהם המיותר [המיוחב] םך כל יתו׳ ויתום מידי שנה בשנה. "
index:,32,"בקהלח אשר ממגין שם ר א ש מ ד י נ ה מידי חג הפסח תוך שאר מינויי הקהל, אין להקהל לעשות דבר קטן או גדול מעםקי צרכי מדינה בלי ...","בקהלח אשר ממגין שם ר א ש מ ד י נ ה מידי חג הפסח תוך שאר מינויי הקהל, אין להקהל לעשות דבר קטן או גדול מעםקי צרכי מדינה בלי ידיעת וצירוף [ראש מדינה] אליהם. "
