עמודה1,Pub. Date,כותר,מחבר,Title,Author,מקום דפוס,שנת דפוס,Pub. Place,עמודה2
23893,1817,שער התשובה והתפלה - חלק א,"שניאורסון, דב בר בן שניאור זלמן, 1773-1827",,,שקלוב,תקעז,Shklov,
23915,1815,תפלות נהורא השלם,"ברלין-פיק, ישעיה",,,שקלוב,תקעה,Shklov,
18103,1812,מדרש רבה במדבר,erase current entry,,,שקלוב,תקעב,Shklov,
18104,1812,מדרש רבה - במדבר,מדרש רבה.,,,שקלוב,תקעב,Shklov,
50979,1812,אבן תקומה,"ליכטשטיין, אברהם בן אליעזר ליפמאן",,,שקלוב,5572,Shklov,
18054,1809,בית הלוי ותורת הבית,משה אלעזר בן שמואל זנויל,,,שקלוב,תקסט,Shklov,
18186,1809,תוספות בכורים על תוספתא,מנחם נחום בן יהודה ליב,,,שקלוב,תקסט,Shklov,
18497,1804,אבות,"אליהו ב""ר שלמה זלמן מווילנא (הגר""א)",,,שקלוב,תקסד,Shklov,
1466,1803,עולת יצחק,יצחק איזיק בן יקותיאל זלמן,Olas Yitzhak,Alexander Polowitz,שקלוב,תקסג,Shklov,
18446,1803,ספר הצבא,"זרחיה בן יצחק, הלוי, 1125-1186",,,שקלוב,תקסג,Shklov,
18451,1802,צורת הארץ לגבולותיה,"אליהו בן שלמה זלמן (הגר""א), 1720-1797",,,שקלוב,תקסב,Shklov,
18101,1798,דרך המלך,יחיאל מיכל בן יהודה ליב,,,שקלוב,תקנח,Shklov,
18435,1798,פארי הלכות,יחיאל מיכל בן יהודה ליב,,,שקלוב,תקנח,Shklov,
37723,1798,דרך המלך,יחיאל מיכל בן יהודה ליב,,,שקלוב,תקנח,Shklov,
36179,1797,תולדות יוסף - רות. אסתר. איכה,"יוסף בן דב בר, אב""ד ליסקובה",,,שקלוב,תקנז,Shklov,
39019,1797,תולדות יוסף - רות. אסתר. איכה,"יוסף בן דב בר, אב""ד ליסקובה",,,שקלוב,תקנז,Shklov,
39020,1797,תולדות יוסף - חמש מגילות,"יוסף בן דב בר, אב""ד ליסקובה",,,שקלוב,תקנז,Shklov,
13340,1796,טוב טעם,מנחם נחום הלוי מדריבין,,,שקלוב,תקנו,Shklov,
18344,1796,לקח טוב,"יגל, אברהם בן חנניה, 1553-1622",,,שקלוב,תקנו,Shklov,
18160,1795,ריח השדה,"אליעזר בן מאיר, הלוי",,,שקלוב,תקנה,Shklov,
8098,1794,הגדה של פסח ספר שפת הים,"אלטשולר, זאב וואלף ב""ר דוב בער",Hagadah shel Pesach Sfas haYam,Altshuler Zev Wolf bar Dovid Beer,שקלוב,תקנד,Shklov,
18196,1794,חמשה חלוקי אבנים,"אלטשול, זאב וולף בן דב בר",,,שקלוב,תקנד,Shklov,
18503,1794,אבן פנה,"אלטשול, זאב וולף בן דב בר",,,שקלוב,תקנד,Shklov,
18385,1792,מנחה חדשה,משה בן שמעון,,,שקלוב,תקנב,Shklov,
24008,1791,קנה המדה,"ברוך בן יעקב, משקלוב, 1752-1810",,,שקלוב,תקנא,Shklov,
18228,1790,אהל רחל,"קרו, דוד בן יצחק",,,שקלוב,תקנ,Shklov,
18331,1788,כתר תורה,"פינחס בן יהודה, מפולוצק",,,שקלוב,תקמח,Shklov,
18488,1788,ישועה בראש,יהושע השל בן מאיר,,,שקלוב,תקמח,Shklov,
18277,1787,הלכה פסוקה,"כץ, שלמה בן משה, מפינסק",,,שקלוב,תקמז,Shklov,
25110,1787,הלכה פסוקה,"כץ, שלמה בן משה, מפינסק",,,שקלוב,תקמז,Shklov,
23860,1786,עוזר ישראל,"לבל, ישראל",,,שקלוב,תקמו,Shklov,
18297,1785,חוקר ומקובל,"לוצאטו, משה חיים, 1707-1747",,,שקלוב,תקמה,Shklov,
18329,1785,כתר מלכות,"אבן גבירול, שלמה בן יהודה, 1021-1058",,,שקלוב,תקמה,Shklov,
18355,1785,מאמר צבאות ה’,"מנחם עזריה, מפנו, 1548-1620",,,שקלוב,תקמה,Shklov,
18443,1785,פרפראות לחכמה,"ליפשיץ, נח בן אברהם",,,שקלוב,תקמה,Shklov,
23875,1784,ציון במשפט,"ברודא, אהרן בן ישראל",,,שקלוב,תקמד,Shklov,
6456,1783,באר אברהם,אברהם דוב בר בן שלמה,Beer Avraham,Avraham Dov Bar ben Shlomo,שקלוב,תקמג,Shklov,
6967,1783,מורה צדק - בציעת הפת,"יעקב בן יהודה, משקלוב",Moreh Tzedek - Betzias haPas,Yaakov ben Yehudah,שקלוב,תקמג,Shklov,
18368,1783,מדרש כונן,,,,שקלוב,תקמג,Shklov,
23861,1783,עין דור,,,,שקלוב,תקמג,Shklov,
37254,1793,קנה המדה,"ברוך בן יעקב, משקלוב, 1752-1810",,,שקלוב,תקנג,Shklov,
14706,1821,שערי עבודה,"הורביץ, אהרן, מסטרשילוב, 1766-1828",Shaarei Avodah,Aharon haLevi Horowitz M'Strashle,שקלוב,תקפא,Shklov,
14948,1820,שערי היחוד ואמונה,"הורביץ, אהרן, מסטרשילוב, 1766-1828",Shaarei HaYichud V'Emuna,Aharon haLevi Horowitz M'Strashle,שקלוב,תקפ,Shklov,
38577,1819,משנת דרבי אליעזר בן יעקב,"אליעזר בן יעקב, מסלונים",,,שקלוב,תקעט,Shklov,
4016,1818,הגדה של פסח עם פירוש תשבי מבשר,שבתי בן אהרן,Tishbi Mevaser,Shabsi ben Aharon Yehoshua,שקלוב,תקעח,Shklov,
4098,1812,חוסן ישועות,עזרא בן יקותיאל זוסמן,Hosen yeshuot,"Zusman, Ezra ben Yekutiel",שקלוב,תקעב,Shklov,
42451,1812,מדרש רבה - במדבר - עברי טייטש,"יעבץ, יוסף מאיר בן שמואל יצחק, 1832-1914",,,שקלוב,תקעב,Shklov,
42589,1812,תלמוד ירושלמי מן סדר מועד,,,,שקלוב,תקעב,Shklov,
5207,1802,בתים לבריחים,שבתי בן אהרן,Batim laBrichim,Shabsi,שקלוב,תקסב,Shklov,
37246,1802,צורת הארץ לגבולותיה,"אליהו בן שלמה זלמן (הגר""א), 1720-1797",,,שקלוב,תקסב,Shklov,
38642,1802,צורת הארץ לגבולותיה,"אליהו בן שלמה זלמן (הגר""א), 1720-1797",,,שקלוב,תקסב,Shklov,
42448,1802,"מגיני ארץ - שו""ע אורח חיים","קרו, יוסף בן אפרים, 1488-1575",,,שקלוב,תקסב,Shklov,
37467,1800,"חמש מגילות עם פרש""י ומנחת שי וספר שירי מנחה",,,,שקלוב,תקס,Shklov,
42504,1800,עץ חיים,"ויטאל, חיים",,,שקלוב,תקס,Shklov,
5224,1797,תולדות יוסף - חמש מגילות,"יוסף בן דב בר, אב""ד ליסקובה",Toldos Yosef,Yosef,שקלוב,תקנז,Shklov,
35854,1797,מלחמה בשלום,"כץ, חיים אברהם בן יהודה",,,שקלוב,תקנז,Shklov,
42456,1796,"פירוש מהרי""ל","מולן, יעקב בן משה, הלוי, -1427",,,שקלוב,תקנו,Shklov,
5027,1789,בנין שלמה,שלמה בן אברהם אבריל,Binyan Shelomoh,"Avril, Shlomo",שקלוב,תקמט,Shklov,
4128,1788,מעשה אבות,משה בן יונה,Zeh Maaśeh Avot /,Mosheh ben Yonah,שקלוב,תקמח,Shklov,
35867,1788,סדר תפלה שער הרחמים,"אבודרהם, דוד בן יוסף; פינחס בן יהודה, מפולוצק",,,שקלוב,תקמח,Shklov,
35868,1788,סדר תפלה שער הרחמים,"אבודרהם, דוד בן יוסף; פינחס בן יהודה, מפולוצק",,,שקלוב,תקמח,Shklov,
38848,1788,ישועה בראש,יהושע השל בן מאיר,,,שקלוב,תקמח,Shklov,
5315,1787,שיח השדה,"אליעזר בן מאיר, הלוי",Śiah ha-śadeh,"Eliezer ben Meir,",שקלוב,תקמז,Shklov,
37375,1787,שיח השדה,"אליעזר בן מאיר, הלוי",,,שקלוב,תקמז,Shklov,
37577,1785,פרפראות לחכמה,"ליפשיץ, נח בן אברהם",,,שקלוב,תקמה,Shklov,
38440,1785,באר מים,מרדכי בן חיים,,,שקלוב,תקמה,Shklov,
5769,1783,מורה צדק,"יעקב בן יהודה, משקלוב",Moreh Tzedek,Yaakov,שקלוב,תקמג,Shklov,
37923,1783,מורה צדק,"יעקב בן יהודה, משקלוב",,,שקלוב,תקמג,Shklov,
39720,1783,קיצור ספר מצות גדול,"משה בן יעקב, מקוצי",,,שקלוב,תקמג,Shklov,
42250,1783,קונטרס הסמ״ע,יעקב ולק כהן צדק,,,שקלוב,תקמג,Shklov,
37526,1715,שערי ציון,"דוד טבלי בן בנימין זאב וולף, מפוזנה",,,שקלוב,תעה,Shklov,
36415,1817,שער התשובה והתפלה - חלק א,"שניאורסון, דב בר בן שניאור זלמן, 1773-1827",,,שקלוב,תקעז,Shklov,
36416,1817,שער התשובה והתפלה - חלק ב,"שניאורסון, דב בר בן שניאור זלמן, 1773-1827",,,שקלוב,תקעז,Shklov,
36351,1806,לקוטי אמרים תניא - ועתה ניתוסף בו אגרת התשובה,"שניאור זלמן בן ברוך, 1745-1812",,,שקלוב,תקסו,Shklov,
10909,1861,ים של שלמה - ביצה,"לוריא, שלמה בן יחיאל",Yam shel Shlomo Beitzah,Shlomo ben Yehiel Luriah maHarshal,שצ'צ'ין,תרכא,?,
10910,1861,ים של שלמה - יבמות,"לוריא, שלמה בן יחיאל",Yam shel Shlomo Yevomos,Shlomo ben Yehiel Luriah maHarshal,שצ'צ'ין,תרכא,?,
10911,1861,ים של שלמה - כתובות,"לוריא, שלמה בן יחיאל",Yam shel Shlomo Kesuvos,Shlomo ben Yehiel Luriah maHarshal,שצ'צ'ין,תרכא,?,
10912,1861,ים של שלמה - כתובות,"לוריא, שלמה בן יחיאל",Yam shel Shlomo Gittin,Shlomo ben Yehiel Luriah maHarshal,שצ'צ'ין,תרכא,?,
10913,1861,ים של שלמה - קדושין,"לוריא, שלמה בן יחיאל",Yam shel Shlomo-Kedushin,Shlomo ben Yehiel Luriah (maHarshal),שצ'צ'ין,תרכא,,
50867,1860,מדרש שמואל רבתי,"מדרש שמואל. תר""ך",,,שצ'צ'ין,5620,,
11592,1859,אור חדש - קידושין,"קליר, אלעזר בן אלעזר, 1741-1801",Ohr Chodosh Kiddushin,Elazar ben Elazar Kalir,שצ'צ'ין,תריט,?,
25928,1903,כבוד הלבנון,"בליר, מנחם בן מיכאל",,,שפיטץ,תרסג,,
14257,1904,קול אומר קרא - חלק ה,"שורץ, אברהם יהודה אריה ליב בן פינחס זליג, 1824-1883",Kol Omar Kerah Vol 5,Avraham Yehudah Shwatz,שמלוי,תרסד,,
11359,1804,יד המלך,"פלומבו, אליה",Yad haMelech,"Palombo, Eliyahu",שלוניקי,תקסד,Thessaloniki,
11409,1757,שיירי כנסת הגדולה - יורה דעה,"בנבנשתי, חיים בן ישראל, 1603-1673",Sheirei Knesses haGedolah- Tur Yoreh Deah,Chaim ben Yisroel Benvisti,שלוניקי,תקיז,Thessaloniki,
11303,1722,תורת חיים על טור - חלק ב,"חיים שבתי, 1556-1647",Toras Chaim-2(Maharchash),Chaim ben Shabsi Shabsi,שלוניקי,תפב,Thessaloniki,
11304,1722,תורת חיים על טור - חלק ג,"חיים שבתי, 1556-1647",Toras Chaim-3(Maharchash),Chaim ben Shabsi Shabsi,שלוניקי,תפב,Thessaloniki,
11302,1713,תורת חיים על טור - חלק א,"חיים שבתי, 1556-1647",Toras Chaim-1(Maharchash),Chaim ben Shabsi Shabsi,שלוניקי,תעג,Thessaloniki,
11471,1652,"שו""ת מהר""ש לבית הלוי",שלמה בן יצחק הלוי,"Shu""t MaHarash leBeis Levi",Shlomo ben Yitzhak haLevi,שלוניקי,תיב,Thessaloniki,
11948,,טל אורות,נסים חיים שולם יעקב,Tal Oros,Nissim Chaim Shalom Yaakov,שלוניקי,,Thessaloniki,
37799,1808,חמש מגילות,,,,שלוניקי,תקסח,Thessaloniki,
33,1907,בית נאמן,"פרלס, יצחק משה",Bais Neman,Yitzhak Moshe Parles,שלוניקי,תקפו,Thessaloniki,
168,1901,אם הדרך,"אשכנזי, מיכאל",Eim haDerech,Michoel Ashkenazi,שלוניקי,תרסא,Thessaloniki,
10,1897,עין משפט,"אברהם בן יוסף, הלוי",En mishpat /,"Halevi, Avraham",שלוניקי,תרנז,Thessaloniki,
446,1895,תאות דוד,"אבוהב, שמואל בן אברהם",Taavas Shmuel,"Avuhav, Shmuel",שלוניקי,תרנה,Thessaloniki,
7316,1895,תאות דוד,"אבוהב, שמואל בן אברהם",Taavas Shmuel,"Avuhav, Shmuel",שלוניקי,תרנה,Thessaloniki,
26,1893,עבודת השם,שמואל בן מרדכי מאטאלון,Avodas haShem,"Matalon, Shmuel ben Mordechai",שלוניקי,תרנג,Thessaloniki,
937,1893,יאודה יעלה,"קובו, יהודה בן אברהם",Yuda Yaaleh,"Kovo, Yehudah",שלוניקי,תרנג,Thessaloniki,
119,1891,חושן האפד,"פיפנו, דוד בן אברהם, 1851-1925",Sh u-t Hoshen ha-efod,"Pipano, David ben Avraham,",שלוניקי,תרנא,Thessaloniki,
139,1891,דברי שמואל,"הורביץ, שמואל שמלקא בן צבי הירש, מניקולסבורג, 1726-1778",Divrei Shemuel,"Arditi, Refoel Shmuel",שלוניקי,תרנא,Thessaloniki,
1519,1890,ירים משה,"קשטרו, משה בן אברהם",Sh u-t Yarim Mosheh,"Kaśtro, Mosheh",שלוניקי,תרן,Thessaloniki,
8,1886,אמר שמואל,"חביב, שמואל אבן",Omar Shmuel,Shmuel Even Chaviv,שלוניקי,תרמו,Thessaloniki,
495,1882,ויקרא יהושע,"פרחיה, יהושע, הכהן",Va-yikra Yehoshua,"Perahyah, Yehoshua,",שלוניקי,תרמב,Thessaloniki,
6847,1882,ויקרא יהושע,"פרחיה, יהושע, הכהן",Va-yikra Yehoshua,"Perahyah, Yehoshua,",שלוניקי,תרמב,Thessaloniki,
6351,1881,יוקח נא,"אברהם בן נחמן, הכהן, -1885",Yukah No,Avraham ben Nachman haCohen,שלוניקי,תרמא,Thessaloniki,
1301,1879,שער אשר - חלק ב,"קובו, רפאל אשר",Shaar Asher Vol 2,"Kovo, Refoel Asher",שלוניקי,תרלט,Thessaloniki,
51009,1879,טהרת המים,אברהם בן נחמן הכהן,,,שלוניקי,5639,,
253,1877,מעט מים,"אברהם בן נחמן, הכהן, -1885",Sheelot u-teshuvot Meat mayim ;,"Avraham ibn Nahman,",שלוניקי,תרלז,Thessaloniki,
1300,1877,שער אשר - חלק א,"קובו, רפאל אשר",Shaar Asher Vol 1,"Kovo, Refoel Asher",שלוניקי,תרלז,Thessaloniki,
477,1872,צל הכסף,"גטניו, אברהם בן בנבנשתי",Tsel ha-kesef Vols 1-2,"Gatinyo, Avraham",שלוניקי,תרלב,Thessaloniki,
1222,1872,משנת רבי אליעזר - חלק ב,"טולדו, אליעזר די",Mishnas Eliezer Vol 2,"De Toledo, Eliezer",שלוניקי,תרלב,Thessaloniki,
51168,1872,צל הכסף - ב,"גאטינייו, אברהם בן בנבנישתי (השני)",,,שלוניקי,5632,,
6315,1869,דברי מנחם - חלק ב,"מנחם בן שמעון מרדכי, מאנדיאנופולי",Divre Menahem Vol 2,Menahem ben Shimon Mordekhai,שלוניקי,תרכט,Thessaloniki,
270,1867,מצרף לכסף,"גטניו, בנבנשתי מרקדו בן חיים אברהם, -1770",Sh u-t Matsref la-kesef,"Gatinyo, Benveniśti Merkado",שלוניקי,תרכז,Thessaloniki,
507,1867,ידי דוד,"קאראסו, דוד בן יאודה",Yad Dovid,"Karaso, Refoel Dovid",שלוניקי,תרכז,Thessaloniki,
462,1866,תורת חסד,"פרחיה, חסדאי בן שמואל, הכהן",Toras Hesed,"Tzemach, Yaakov",שלוניקי,תפג,Warsaw,
6314,1866,דברי מנחם - חלק א,"מנחם בן שמעון מרדכי, מאנדיאנופולי",Divre Menahem Vol 1,Menahem ben Shimon Mordekhai,שלוניקי,תרכו,Thessaloniki,
1393,1864,אמר שלמה,"חליליו, שלמה בן חיים",Omar Shlomo,Shlomo Ben Chaim Chaliliv,שלוניקי,תרכד,Thessaloniki,
1772,1863,תפארת אדם,חיים אברהם בן דוד,Tiferet Adam /,"Hayim Avraham ben David,",שלוניקי,תרכג,Thessaloniki,
6219,1863,זכר דבר,"בנבנשתי, יהודה בן כלב",Zecher Dovor,"Banevisti, Yehudah",שלוניקי,תרכג,Thessaloniki,
314,1862,נדיב לב - חלק א-ב,"חזן, חיים דוד, 1790-1869",Sh u-t Nediv lev Vols 1-2,"Hazan, Hayim David,",שלוניקי,תרכב,Thessaloniki,
6301,1862,בירך את אברהם,"פרסקו, אברהם",Berach es Yosef,"Perisko, Avraham",שלוניקי,תרכב,Thessaloniki,
6363,1859,כף החיים,"פלג’י, חיים בן יעקב, 1788-1869",Kaf haChayim,"Palaji, Chaim",שלוניקי,תריט,Thessaloniki,
6590,1858,עין המים,"מנשה, רפאל יעקב",En ha-mayim,"Refael Yaakov Menasheh,",שלוניקי,תריח,Thessaloniki,
6758,1858,ארח משפט,"חזן, רחמים אליהו",Orach Mishpat,Rachamim Eliyahu Chazan,שלוניקי,תריח,Thessaloniki,
45598,1858,מורה באצבע,"אזולאי, חיים יוסף דוד, 1724-1806",,,שלוניקי,תריח,,
996,1855,מכתב שלמה,"חיים נסים שלמה בן מרדכי, 1737-1775",Miktav Shlomo,Chaim Nissim Shlomo ben Mordechai,שלוניקי,תרטו,Thessaloniki,
1221,1853,משנת רבי אליעזר - חלק א,"טולדו, אליעזר די",Mishnas Eliezer,"De Toldedo, Eliezer",שלוניקי,תריג,Thessaloniki,
251,1852,מים קדושים,"קריספין, יהושע משה מרדכי בן יצחק",Sh u-t Mayim kedoshim,"Kriśpin, Yehoshua Mosheh Mordekhai",שלוניקי,תריב,Thessaloniki,
1116,1851,שמע אברהם חלק ב,"פלג’י, אברהם בן חיים, 1809-1899",Shema Avraham Vol 2,"Palaji, Avraham",שלוניקי,תריא,Thessaloniki,
1117,1850,שמע אברהם - חלק ב,"פלג’י, אברהם בן חיים, 1809-1899",Shema Avraham Vol 1,"Palaji, Avraham",שלוניקי,תרי,Thessaloniki,
764,1849,חקקי לב - חלק ג,"פלג’י, חיים בן יעקב, 1788-1869",Hokeikei Lev Vol 3,"Palaji, Chaim",שלוניקי,תרט,Thessaloniki,
765,1849,חקקי לב - חלק ד,"פלג’י, חיים בן יעקב, 1788-1869",Hokeikei Lev Vol 4,"Palaji, Chaim",שלוניקי,תרט,Thessaloniki,
7352,1849,"צעיר רד""ם","מזרחי, רפאל דוד",Tzeir Radam,"Mizrachi, Refoel Dovid",שלוניקי,תרט,Thessaloniki,
476,1848,צפיחת בדבש,"פונטרימולי, חיא בן בנימין",Sh u-t Tsapihit bi-devash,"Pontrimoli, Hiya",שלוניקי,תרח,Thessaloniki,
1565,1846,מים החיים,"ארוליה, אברהם אבן, 1750-1819",Mayim haChayim Vol 1,Aharon Avraham ben Arulai,שלוניקי,תרו,Thessaloniki,
694,1845,הגיד מרדכי,מרדכי אסיאו,Hegid Mordechai,"Asiu, Mordechai",שלוניקי,תרה,Thessaloniki,
