Title,Manifest,Archive,Fond,Reference Number,Language,Creation Date,Place of Origin,Geographical Names,Surnames,Notes,Tags
,,,,,,,,,,,
Universal of Crown Treasurer Marek Matczyński on collecting the poll tax from the Jews of Bełz voivodeship and the Chełm land,"Grand Crown Treasurer Marek Matczyński forbids the nobility of the Bełz voivodeship and Chełm land to protect Jews from local villages and towns and to prevent to collect general poll tax by Crown treasury assignation holders (deputies) under the threat of a suit by the Crown prosecutor in the Crown tribunal. In the case of the failure to provide the required amount, the deputies may seal synagogues, sequestrate Jewish goods, and imprison the debtors.",Central State Historical Archives of Ukraine in Lviv,Belz castle court files (Księgi grodzkie bełskie),"CGIA Lwów, Fond 1, op. 1, sp. 284, s. 58-60",Polish,20.01.1691,"Warszawa, Warsaw","Belz (Bełz), Warsaw (Warszawa)","Matczyński Marek, Moszko Lewkowicz","Moszko Lewkowicz, the beadle [shammes] of the Zamość community, introduces on 10 January 1691 in the Bełz castke court records books. Probably wrong year (1691 instead of 1690).",uniwersał
Lawsuit to the tax tribunal against the elders of the voivodeship of Lublin concerning the incorrect order of payment,"Józef Starobiński, a companion and deputy of the armoured cavalry unit of Teodor Szaniawski, the son of the Lithuanian Master of the Hunt, sues the elders of the of Lublin Voivodeship, especially Abraham Chaimowicz, a merchant from Lublin, to the tax tribunal in Radom due to the damage inflicted to the Crown Treasury and the cavalry unit, by placing in the 1735 annual tariff the amount of 300 złp for the town of Łysobyki (the Rzewuskis estates), in which not a single Jew remained.",The State Archive in Lublin,Lublin castle court files (Księgi grodzkie lubelskie),"APL CLRMO 271, s. 1468-1469",Latin,25.04.1739,Radom,"Jeziorzany (Łysobyki), Lublin","Abraham Chaimowicz, Rzewuski, Starobiński Józef, Szaniawski Teodor",https://www.szukajwarchiwach.gov.pl/jednostka/-/jednostka/2669647?_Jednostka_delta=200&_Jednostka_resetCur=false&_Jednostka_cur=8&_Jednostka_id_jednostki=2669647,"asygnacja, chorągiew pancerna, pogłówne, trybunał skarbowy radomski, ziemstwo lubelskie (województwo)"
Contract between the land elders and the archdeacon of Sandomierz,"A contract between Sebastian Kokwiński, the archdeacon and official of Sandomierz, and the land elders [of the Jewish self-government] for 14000 złp in gold, guaranteed by the Jewish communities in a separate inscriptions. Jews pledge to pay the Chapter of the Sandomierz collegiate church a yearly rent of 7% (980 złp) for music. In order to facilitate the payment of the rent, the elders of Sandomierz and Opatów communities are obliged to deliver the rent.",Sandomierz Diocesan Library,,"BDS, AKKKS 76, s. 84r-85v, BDS, AKKKS 75, s. 1r-2v [kopia]",Polish,01.12.1664,Sandomierz,"Checiny, Nowy Wisnicz, Opatow, Pińczów, Sandomierz, Stopnica, Wodzisław","Awraham Meir syn Moszego, Cwi Hirsz, Eleazar Lipman syn harawa rabbiego Szmuela, Issachar Piekarz Karo, Jaakow Natan Port Rapa [Rapaport], Jehuda Lejb Preger, Kokwiński Sebastian, Menachem syn Binjamina, Mosze Jaakow syn Zeliga, Or Szraga Fejwusz syn Lejba",Original. Hebrew signatures of elders,"wyderkaf, ziemstwo krakowsko-sandomierskie"
Treasury  appropriation for Kazimierz Zapolski,"Treasury appropriation issued by Marcin Zamoyski, voivode of Lublin, administrator of the Crown Treasury, and Jan Plaskowski, clerk of the Crown Treasury, for Kazimierz Zapolski, chamberlain of Sieradz, deputy of Poland to the Moscow Treaties, for the amount of  425 Polish zlotys, paid by Poznań Jews from the Jewish poll tax installment of May 1684 (with the annotation and the signature of K. Zapolski about its payment).",The State Archive in Poznan (APP),Poznan castle court files (Księgi grodzkie poznańskie),"APP, Poznańskie Gr. 1231, s. 607rv",Polish,26.05.1684,Warszawa,"Poznan (Poznań), Warsaw (Warszawa)","Plaskowski Jan, Salomon Jakubowicz, Zamoyski Marcin, Zapolski Kazimierz",,asygnacja
"Universal of Jan Andrzej Morsztyn, Crown Treasurer","The Grand Treasurer of the Crown, Jan Andrzej Morsztyn, informs that the convocation Sejm imposed on all Jews in the Crown over 10 years of age a general poll tax, which should be paid in accordance with the provisions of the constitution, and not according to the tariff from 1662.",The State Archive in Poznan (APP),Poznan castle court files (Księgi grodzkie poznańskie),"APP, Poznańskie Gr. 1231, s. 223rv",Polish,15.04.1674,Warszawa,"Poznan (Poznań), Warsaw (Warszawa)","Baier Jan Andrzej, Mojżesz Markowicz, Morsztyn Jan Andrzej","Introduced  5 V 1678 r. in castle court records by Abram Aleksandrowicz szkolnik (""minister scholae Judaicae""). Extract from Warsaw castle court, Universal introduced  25 IV 1674 r. byMojżesz Markowicz syndic of Crown Jews.","pogłówne, uniwersał"
Declaration of the former land elders of Wielkopolska,"Joachim Smol, Mendel Herc, former land elders of Great Poland [Wielkopolska] and Marek Józefowicz, land scribe, manifest that they were ready to carry out the sentence of Rafał Leszczyński, the Kalisz voivode, between the former land elders and the current land elders of Wielkopolska and the elders of Kalisz and Leszno, and to carry out (by their commissioners) settlement of accounts (calculation ) in Kobylin, but the other party did not want to do it.",The State Archive in Poznan (APP),Kalisz castle court files (Księgi grodzkie kaliskie),"APP, Kaliskie Gr. 298, s. 621r",Latin,17.03.1687,Kalisz,"Kalisz, Kobylin, Leszno","Joachim Smol, Leszczyński Rafał, Marek Józefowicz, Mendel Herc",,"manifestacja, ziemstwo wielkopolskie"
Stanisław Krogulecki's declaration against the marshal of the Ruthenian lands regarding the land rabbi,"Stanisław Krogulecki  Czerwonogrod voivodship judge, manifests against Berek Rabinowicz, Marshal of the Ruthenian Voivodeship, and Major Herszkowicz Horodeński, regarding the usurpation by the latter title of the general (land) rabbi of the Ruthenian Voivodship against the rescript of August II, the instruction of [Jan Stanisław] Jabłonowski, the Ruthenian Voivode, and the decision of the Jewish congress in Przemyślany of October 6, 1752, according to which Chaim Symchowicz was to hold the office of the general rabbi of the Ruthenian Voivodeship indivisibly.",Central State Historical Archives of Ukraine in Lviv,Lviv castle court files (Księgi grodzkie lwowskie),"CGIA Lwów, Fond 9, op. 1, sp. 570, s. 2568-2570",Latin,17.07.1755,"Lwów, Lviv","Lviv (Lwów), Peremyshliany (Ukraine)","August II, Berek Rabinowicz, Chaim Symchowicz, Jabłonowski Jan Stanisław, Krogulecki Stanisław, Major Herszkowicz",,"manifestacja, ziemstwo ruskie"
Protective universal of Jan III Sobieski to Crown Jews,King Jan III Sobieski confirms the resolutions of the Grodno diet of 1679 to Crown Jews and forbids collecting from them any taxes established at noble dietines. He also forbids suing them in courts other than the voivode court or court of assessors.,The State Archive in Lublin,Chelm castle court files (Księgi grodzkie chełmskie),"APL,KGCH 103, s. 747-753",Polish,20.06.1681,Warszawa,"Chełm (Chelm), Warsaw (Warszawa)","Icko Aronowicz, Icko Lewkowicz, Jan III Sobieski, Mojżesz Markowicz, Szuka Stanisław Antoni","Tyt.: Pro parte infidelium Iudaeorum Regni litterarum Sacrae Regiae Maiestatis protectionis oblatae. W księgach grodzkich chełmskich ekstrakt z akt grodzkich warszawskich, oblatowany 20 VI 1681 przez syndyka Żydów koronnych Mojżesza Markowicza, oblatowali 9 VII 1681 starsi chełmscy Icko Aronowicz i Icko Lewkowicz.",przywilej
Documents concerning the poll tax from the Kalisz and Poznań Jewish land elders,"The assignment of Adam Mikołaj Sieniawski, Grand Hetman of the Crown, Voivode of Bełz, for Felicjan Grabski, standard-bearer of Łęczyca, for 2,000 zlotys from the Jewish poll tax to the Jews of Kalisz and Poznań, as remuneration for the commissioner's function in the hibernation commission for the year 1706, Warsaw, March 21, 1707; and receipts from Jan Malski and Stanisław Poleski for Samuel Markowicz, the scribe general of the Jews of Wielkopolska, on receipt of assignments to individual communes of the Greater Poland Land, Kalisz, 2 September 1707, i.e. to Łęczyca 400; Strykowa 150; [..]char 500; Gabin 150; Kowal[?]; Brześć Kujawski 500; Lubraniec [1?].",The State Archive in Poznan (APP),Kalisz castle court files (Księgi grodzkie kaliskie),"APP, Kaliskie Gr. 314, s. 625rv",Polish,21.03.1707 - 02.09.1707,Kalisz,"Brześć Kujawski, Gabin, Kalisz, Kowal, Lubraniec, Lviv (Lwów), Strykow, Łęczyca","Grabski Felicjan, Malski Jan, Poleski Stanisław, Samuel Markowicz, Sieniawski Adam Mikołaj","Receipt impossible to read due to deep stitching in several places.
First presented by Stanisław Poleski and Jan Malski on September 7, 1707.","asygnacja, ziemstwo wielkopolskie"
Declaration of Olyka Jews against Fiszel Lejbowicz,"Michel Moszkowicz, the syndic [shtadlan] of the Ołyka kahal, manifests against Fiszel Lejbowicz, the scribe general of the Crown Jews, as well as the rabbis and [land] elders, regarding the failure to meet the conditions of the law granted by Jan III and August II to the Ołyka community, that every three years a Jewish council [sejmik] should be convened in Ołyka, and also no tax resolutions were adopted without the signature of the rabbi and the elders of Ołyk. Fiszel, after issuing the universal on 3 April 1703 by [Hieronim Augustyn Lubomirski], the castellan of Kraków, not only did not convene the sejmik, but issued an allocation for several hundred zlotys to Ołyka, to the detriment of the community.",Central State Historical Archives of Ukraine in Kyiv,,"Archiv Jugo-Zapadnoj Rossii izdavaemyj Kommisseju dlja razbora drevnich Aktov, cz. V, t. I, Akty o gorodach, Kijev 1869, s. 206-208 [Na podstawie ks. grodzkiej krzemienieckiej 1612, k. 139]",Polish,17.04.1703,Krzemieniec,"Kremenets, Olyka","Fiszel Lejbowicz, Michel Moszkowicz","The manuscript does not exist anymore. See. M.Schorr, Organizacya Żydów w Polsce: (od najdawniejszych czasów aż do 1772 r.), Lwów 1919, p. 77.","manifestacja, sejmik żydowski, ziemstwo wołyńskie"
Decree of the infamy of the treasury tribunal in Radom in the case between the Czartoryskis and the land elders of the Ruthenian Voivodeship,"Decree in absentia of infamy imposed on Berek Rabinowicz and his son-in-law Lejba Rabinowicz and other land elders of the Ruthenian voivodeship regarding the prevention of the execution of the condemnata (decree of absentee banishment) in the case between them and August Czartoryski and his wife Maria Zofia [Zofia Maria], Ruthenian voivodes, Kaluga starosts and the elders of the community in Kałusz for excessive burden and impoverishment of the Jewish communities in Kałusz, Brzeżany, Skole, Narajów and Przemyślany. The execution was carried out by A.J. Dąbrowski, Podstoli of Płock, sub-delegate of the Żydaczów castle court, in front of Berek Rabinowicz's tenement house in Brody on November 28, 1761. Berko, refusing the execution, allegedly said [fragment in Polish], that in Konstantynów, in 1760, the land elders concluded an agreement with the community in Kałusz, setting the amount of the poll tax at 2,200 zlotys. In 1761, the elders did not collect it because the Jews from Kałusz wanted to pay in tynfs, counting 38 groszy each, which was inconsistent with the so-called reduction of money [monetary regulation]. He assured that they would conclude a settlement with the Kałusz commune during the next Lviv contracts.",The Central Archives of Historical Records in Warsaw,Archiwum Potockich z Łańcuta,"AGAD, Archiwum Potockich z Łańcuta 4378, s. 14-25",Latin,06.12.1762,Radom,"Berezhany, Brody, Kalush (Ukraine), Konstantynów, Lviv (Lwów), Narayiv (Ukraine), Peremyshliany (Ukraine), Radom, Skole","Berko Rabinowicz, Czaroryska Zofia maria, Czartoryski August Aleksander, Dąbrowski A.J., Lejba Rabinowicz","Extract from court files with wafer seal.
The act of execution was entered into the Lviv castle court records on May 17, 1763. The decree also contains the content of the summons of April 5, 1761, which was presented in the Lviv castle court records on May 7, 1763.","dekret (wyrok), egzekucja dekretu, trybunał skarbowy radomski, ziemstwo ruskie"
Protest by the nobles of Podolia against the Crown Treasury,"The voivode of Kijów, Józef Potocki, the voivode of Podolia, Stefan Humiecki, the voivode of Bełz, Stefan Potocki, Crown Guard Józef Potocki, general starost of Podolia, Jan Kątski, Steward of Latyczów, Karol Maksymilian Kruzer, Delegate to the Tribunal from the Podolia voivodeship and Pantler of Latyczów, and Stanisław Telefus, deputy voivode of Podolia, and Michał Podczaski, Pantler of Latyczów, Samson Bombek, on behalf of the nobles of Podolia, protest against the Treasury unlawfully penalizing the Jews of Podolia. The Treasury, rather than punishing those Jews who illegally import wine from Hungary, sees it fit to tax all Crown Jews, including those of Podolia, who the protesters claim do not traffic in wine.",The State Archive in Lublin,Lublin castle court files (Księgi grodzkie lubelskie),"APL, CLRMO 221, s. 158rv",Latin,12.07.1720,Lublin,"Lublin, Podolia (Podole)","Bombek Samson, Humiecki Stefan, Janicki Mikolaj Rola, Katski Jan Stanisław, Krasnowski, Kruzer Karol Maksymilian, Podczaski Michał Kazimierz, Potocki Józef, Potocki Stefan, Telefus Stanisław Piotr, Tokarzewski Antoni","Published: Sejm Czterech Ziem. Źródła, do druku przygotowali J. Goldberg i A. Kaźmierczyk, Wydawnictwo Sejmowe, Warszawa 2011, s. 320, 321.",manifestacja
Ugoda starszych kaliskich z deputatem chorągwi,"Komplanacja [ugoda] podpisana przez Stanisława Ostrowskiego deputata chorągwi [Feliksa Aleksandra Lipskiego] wojewody kaliskiego ze starszymi powiatu kaliskiego, w której zobowiązali się dostarczyć za cztery tygodnie od daty zawarcia ugody asygnacje do miasteczek powiatu na kwotę 1300 złp. Z kolei Ostrowski zobowiązał się oddać wówczas asygnację skarbową na kwotę 4000 złp (zgodnie z treścią dokumentu pozostawało 975 złp do wypłacenia, nie żądać żadnego dodatkowego wynagrodzenia (""kontentacyi"") i wydać pokwitowanie Żydom.",The State Archive in Poznan (APP),Kalisz castle court files (Księgi grodzkie kaliskie),"APP, Kaliskie Gr. 309, s. 82rv",Polish,06.01.1700,Kalisz,Kalisz,"Lispski Feliks Aleksander, Marek Korzennik, Ostrowski Stanisław",,"asygnacja, ugoda"
Resolution of the Jewish council in Toruń,"The Złotów poviat elders gathered at the regional council in Toruń established the amount of the tariff and pledged to hand it over the Złotów elders under the threat of execution. At the same time, they resolved that they were subordinate to the Złotów community only as regards tax matters.",The State Archive in Poznan (APP),Castle court files of Naklo,"APP, Nakielskie Gr. 149, s. 289rv",Polish,02.02.1700,Toruń,"Czarnków, Czlopa, Nakło, Pila, Toruń, Wielen, Złotów, Łobżenica","Izaak Mojżesz, Jantow Samuel, Jezef Lewek, Lewek Fabian, Lewek Ozer, Litman Kalman, Mojżesz Gdalia, Mojżesz Izaak, Mojżesz Lewek",Do akt grodzkich nakielskich tłumaczenie na jęz. polski podał 26 VIII 1709 Samuel ze Złotowa rektor synagogi złotowskiej.,"sejmik żydowski, ziemstwo wielkopolskie"
Relacja o nałożeniu aresztu sądowego na Żydów podczas sejmiku ziemstwa chełmskiego,"W czasie obrad sejmiku starszych ziemstwa chełmskiego (m.in. Żydów z Chełma, Zamościa, Tyszowców, Hrubieszowa)  odbywających się w Grabowcu w domu Irsza, woźny sądowy Jan Bodakowski w obecności Antoniego Romanowskiego i Jakuba Robakiewicza na rekwizycję Michała Szackiego prezbitera i instygatora diecezji chełmskiej, oraz kantorów Łukasza Manachowicza kościoła skierbieszowskiego i  Macieja Leśniowskiego kościoła grabowieckiego nałożył areszt sądowy na osoby karczmarzy i arendarzy żydowskich ze wsi Wielkie Oczy, Dub, Zawalów, czyniąc odpowiedzialnym za ich stawienie Irsza Piotruszkę marszałka ziemstwa chełmskiego [chełmsko-bełskiego], Żyda hrubieszowskiego.",The State Archive in Lublin,Horodlo castle court files (Księgi grodzkie horodelskie),"APL, KGH 45, s. 81-82",Latin,19.04.1728,"Horodło, Horodlo","Chełm (Chelm), Dub, Grabowiec, Horodło, Hrubieszow (Hrubieszów), Tyszowce, Wiekie Oczy, Zamosc, Zavaliv","Bodakowski Jan, Elor, Hirsz Pietruszka, Irsz, Jona Łukowski, Leśniowski Maciej, Manachowicz Łukasz, Robakiewicz Jakub, Romanowski Antoni, Szacki Michał, Szloma",Relacja w grodzie horodelskim z powodu wakowania urzędu grodzkiego grabowieckiego. Tytuł relacji: Ex parte Reverendissimi Episcopi Helmensis arestum,"areszt, sejmik żydowski, ziemstwo chełmsko-bełskie"
Libertacja starszych ziemskich chełmskich i bełskich dla Żydów cieszanowskich,"Tłumaczenie libertacji starszych ziemskich województwa bełskiego i chełmskiego (Irsza Nachymowicza z Hrubieszowa, Abramka z Bełza, Mendla z Lubomla, Icko Szmojłowicza z Tyszowców, Aarona Moszkowicza z Tomaszowa Lubelskiego) dla Żydów z Cieszanowa. Ponieważ Żydzi cieszanowscy zawarli ugodę ze starszymi ziemskimi, na mocy której mieli oni płacić 1100 złp pogłównego żydowskiego  rocznie od 1698 r. w dwóch ratach po 550 złp, w zamian za to starsi ziemscy obiecali, że Żydzi cieszanowscy nie będą płacić więcej nawet w przypadku podniesienia podatku królewskiego.",Central State Historical Archives of Ukraine in Lviv,Belz castle court files (Księgi grodzkie bełskie),"CGIA Lwów, Fond 1, op. 1, sp. 292, s. 505-506",Polish,15.07.1697,Wojsławice,"Belz (Bełz), Chełm (Chelm), Cieszanów, Hrubieszow (Hrubieszów), Liuboml, Tomaszów Lubelski, Wojslawice","Aaron Moszkowicz, Abramko, Icko Szmujłowicz, Irsz Nachymowicz, Irsz Zejlikowicz, Lewek Chaimowicz, Lewek Mendlowicz, Mendel",,"libertacja (zwolnienie), pogłówne, ziemstwo chełmsko-bełskie"
