ob_id,pl_name,pl_name_de,pl_name_v,pl_type,material,patronage,kind,title,denom,name,source,pal_name,deanery,adeaconry,diocese,metropoly,parish,type
3 564,Powitno,,,wieś,dr,d,,OpNMP,Kościół katolicki ob. greckiego,,"Budzyński, Struktura, s. 137; Kołbuk 1998, s. 185 (dek. Obroszyn); Skoczylas, Oficjalat Lwów, s. 136.",rus,Lwów,Lwów,Lwów,Kijów-Wilno,,świątynia główna
4 466,Dawidów,,,wieś,dr,d,,Demetriusz M,Kościół katolicki ob. greckiego,,"Kołbuk 1998, s. 183; Skoczylas, Oficjalat Lwów, s. 133.",rus,Lwów,Lwów,Lwów,Kijów-Wilno,,świątynia główna
2 830,Krotoszyn,,,wieś,dr,d,obsł. zak,Wszyscy Św,Kościół katolicki ob. łacińskiego,Dominikanie,"Litak 1996, s. 376, 504 (obsługa parafii przez dominikanów lwowskich).",rus,Lwów,Lwów,Lwów,Lwów,,świątynia główna
3 016,Winniki,,,miasto,mr,s,,WnNMP,Kościół katolicki ob. łacińskiego,,"Litak 1996, s. 376 (wieś).",rus,Lwów,Lwów,Lwów,Lwów,,świątynia główna
2 970,Sokolniki,,,wieś,mr,k,,Mikołaj Bp,Kościół katolicki ob. łacińskiego,,"Litak 1996, s. 376.",rus,Lwów,Lwów,Lwów,Lwów,,świątynia główna
22 402,Podwysokie,,,wieś,dr,s,,Mikołaj Bp,Kościół katolicki ob. greckiego,,"Budzyński, Struktura, s. 138; Skoczylas, Niedatowanyj rejestr, s. 546; Duh, Pawlyszyn, Spis parafii 1782 r. (dek. Horożanna); Skoczylas, Oficjalat Lwów, s. 150.",rus,Szczerzec,Lwów,Lwów,Kijów-Wilno,,świątynia główna
4 495,Rumno,,,wieś,dr,s,,PPańskie,Kościół katolicki ob. greckiego,,"Kołbuk 1998, s. 192; Skoczylas, Niedatowanyj rejestr, s. 546; Duh, Pawlyszyn, Spis parafii 1782 r. (dek. Horożanna); Skoczylas, Oficjalat Lwów, s. 150.",rus,Szczerzec,Lwów,Lwów,Kijów-Wilno,,świątynia główna
6 173,Humieniec,,,wieś,dr,k,,ObjPańskie,Kościół katolicki ob. greckiego,,"Kołbuk 1998, s. 191 (s); Skoczylas, Niedatowanyj rejestr, s. 546; Duh, Pawlyszyn, Spis parafii 1782 r. (dek. Horożanna); Skoczylas, Oficjalat Lwów, s. 148.",rus,Szczerzec,Lwów,Lwów,Kijów-Wilno,,świątynia główna
6 168,Dmytrze,,,wieś,dr,k,,Demetriusz M,Kościół katolicki ob. greckiego,,"Kołbuk 1998, s. 191 (s); Skoczylas, Niedatowanyj rejestr, s. 546; Duh, Pawlyszyn, Spis parafii 1782 r. (dek. Horożanna)",rus,Szczerzec,Lwów,Lwów,Kijów-Wilno,,świątynia główna
4 627,Podciemno,,,wieś,dr,d-k,,WnNMP,Kościół katolicki ob. greckiego,,"Kołbuk 1998, s. 192 (k); Skoczylas, Oficjalat Lwów, s. 150.",rus,Szczerzec,Lwów,Lwów,Kijów-Wilno,,świątynia główna
3 026,Wołoszcza,,,wieś,dr,s,,Św. Krzyż,Kościół katolicki ob. łacińskiego,,"Litak 1996, s. 379 (miasto).",rus,Gródek Jagielloński,Żółkiew,Lwów,Lwów,,świątynia główna
2 878,Mikołajów,,,miasto,mr,k,,Mikołaj Bp,Kościół katolicki ob. łacińskiego,,"Litak 1996, s. 379.",rus,Gródek Jagielloński,Żółkiew,Lwów,Lwów,,świątynia główna
6 162,Brodki,,,wieś,dr,k,,Onufry Pustelnik,Kościół katolicki ob. greckiego,,"Kołbuk 1998, s. 191 (s); Skoczylas, Oficjalat Lwów, s. 147.",rus,Szczerzec,Lwów,Lwów,Kijów-Wilno,,świątynia główna
2 961,Siemianówka,,,wieś,mr,k,,Marcin Bp,Kościół katolicki ob. łacińskiego,,"Litak 1996, s. 379.",rus,Gródek Jagielloński,Żółkiew,Lwów,Lwów,,świątynia główna
3 124,Sambor,,,miasto,mr,,,Barbara PM,Kościół katolicki ob. łacińskiego,,"Litak 1996, s. 405.",rus,Sambor,Przemyśl,Przemyśl,Lwów,Sambor,świątynia pomocnicza
4 191,Stupnica,,"Stupnica Polska, Stupnica Dolna, Stupnica Górna, Stupnica Ruska",wieś,dr,s,,Jerzy M,Kościół katolicki ob. greckiego,,"Budzyński, Ludność, II, s. 345 (Michał A); Kołbuk 1998, s. 253 (Stupnica Polska)",rus,Mokrzany,,Przemyśl,Kijów-Wilno,,świątynia główna
3 122,Sambor,,,miasto,dr,,,Św. Krzyż,Kościół katolicki ob. łacińskiego,,"Litak 1996, s. 405.",rus,Sambor,Przemyśl,Przemyśl,Lwów,Sambor,świątynia pomocnicza
2 960,Sąsiadowice,,,wieś,mr,d,zak,Anna,Kościół katolicki ob. łacińskiego,Karmelici trzewiczkowi,"Litak 1996, s. 404.",rus,Nowe Miasto,Przemyśl,Przemyśl,Lwów,,świątynia główna
15 332,Szczodrowo,,,wieś,dr,k,,Szymon i Juda Tadeusz AAp,Kościół katolicki ob. łacińskiego,,"Litak 1996, s. 342.",pom,Tczew,Gdańsk,Włocławek,Gniezno,Skarszewy,świątynia pomocnicza
3 065,Gródek Jagielloński,,Gródek,miasto,dr,,,Barbara PM,Kościół katolicki ob. łacińskiego,,"Litak 1996, s. 380.",rus,Gródek Jagielloński,Żółkiew,Lwów,Lwów,Gródek Jagielloński,świątynia pomocnicza
15 239,Żukowo,,,wieś,mr,d,,Jan Ch,Kościół katolicki ob. łacińskiego,,"Litak 1996, s. 337.",pom,Gdańsk,Gdańsk,Włocławek,Gniezno,,świątynia główna
15 163,Kielno,,,wieś,mr,k,,Wojciech Bp,Kościół katolicki ob. łacińskiego,,"Litak 1996, s. 337.",pom,Gdańsk,Gdańsk,Włocławek,Gniezno,,świątynia główna
15 218,Strzepcz,,,wieś,dr,k,,Maria Magdalena,Kościół katolicki ob. łacińskiego,,"Litak 1996, s. 339.",pom,Mirachowo,Gdańsk,Włocławek,Gniezno,,świątynia główna
15 145,Chwaszczyno,,,wieś,pr,d,,Szymon i Juda Tadeusz AAp,Kościół katolicki ob. łacińskiego,,"Litak 1996, s. 337.",pom,Gdańsk,Gdańsk,Włocławek,Gniezno,,świątynia główna
2 810,Komarno,,,miasto,mr,s,,NarNMP,Kościół katolicki ob. łacińskiego,,"Litak 1996, s. 379.",rus,Gródek Jagielloński,Żółkiew,Lwów,Lwów,,świątynia główna
2 867,Malechów,,,wieś,mr,mk,,Michał A,Kościół katolicki ob. łacińskiego,,"Litak 1996, s. 380.",rus,Janów,Żółkiew,Lwów,Lwów,,świątynia główna
3 456,Czerchawa,,,wieś,dr,d,,Michał A,Kościół katolicki ob. greckiego,,"Budzyński, Ludność, II, s. 112; Kołbuk 1998, s. 260.",rus,Sambor,,Przemyśl,Kijów-Wilno,,świątynia główna
3 700,Kornalowice,,,wieś,dr,s,,ZmPańskie,Kościół katolicki ob. greckiego,,"Budzyński, Ludność, II, s. 194; Kołbuk 1998, s. 260.",rus,Sambor,,Przemyśl,Kijów-Wilno,,świątynia główna
3 715,Kowenice,,,wieś,dr,s,,PPańskie,Kościół katolicki ob. greckiego,,"Budzyński, Ludność, II, s. 197; Kołbuk 1998, s. 260.",rus,Sambor,,Przemyśl,Kijów-Wilno,,świątynia główna
4 390,Zaszkowice,,,wieś,dr,s,,Eliasz Pr,Kościół katolicki ob. greckiego,,"Budzyński, Ludność, II, s. 411; Kołbuk 1998, s. 248.",rus,Gródek Jagielloński,,Przemyśl,Kijów-Wilno,,świątynia główna
15 171,Kościerzyna,"Berno, Berendt",Podzamcze Kościerzyńskie,miasto,mr,k,,Św. Trójca,Kościół katolicki ob. łacińskiego,,"Litak 1996, s. 339.",pom,Mirachowo,Gdańsk,Włocławek,Gniezno,,świątynia główna
13 109,Studzienice,,,wieś,dr,k,,Św. Trójca,Kościół katolicki ob. łacińskiego,,"Litak 1996, s. 337.",byt,Bytów,Gdańsk,Włocławek,Gniezno,Ugoszcz,świątynia pomocnicza
15 326,Stare Polaszki,,Polaszki Stare,wieś,mr,k,,Mikołaj Bp,Kościół katolicki ob. łacińskiego,,"Litak 1996, s. 341.",pom,Starogard,Gdańsk,Włocławek,Gniezno,Stara Kiszewa,świątynia pomocnicza
14 308,Brzeźno Lęborskie,Bresin,,wieś,dr,k,,Małgorzata PM,Kościół katolicki ob. łacińskiego,,"Litak 1996, s. 339.",lęb,Lębork,Gdańsk,Włocławek,Gniezno,Lębork,świątynia pomocnicza
15 291,Łebcz,,,wieś,mr,k,,Marcin Bp,Kościół katolicki ob. łacińskiego,,"Litak 1996, s. 340.",pom,Puck,Gdańsk,Włocławek,Gniezno,Swarzewo,świątynia pomocnicza
15 360,Oliwa,,,wieś,,,zak,Św. Trójca,Kościół katolicki ob. łacińskiego,Cystersi,"Litak 1996, s. 500.",pom,Gdańsk,Gdańsk,Włocławek,Gniezno,,świątynia pomocnicza
15 312,Reda,,,wieś,dr,k,,"WnNMP, Katarzyna PM",Kościół katolicki ob. łacińskiego,,"Litak 1996, s. 340.",pom,Puck,Gdańsk,Włocławek,Gniezno,Rumja,świątynia pomocnicza
4 383,Zagórze,,,wieś,dr,s,,PPańskie,Kościół katolicki ob. greckiego,,"Budzyński, Ludność, II, s. 406; Kołbuk 1998, s. 263.",rus,Sądowa Wisznia,,Przemyśl,Kijów-Wilno,,świątynia główna
24 097,Załoźce,,"Załoźce Stare, Załoźce Nowe",miasto,,,zak,Wawrzyniec M,Kościół katolicki ob. łacińskiego,Augustianie eremici,"Litak 1996, s. 492.",rus,Krzemieniec,Łuck,Łuck,Lwów,,świątynia pomocnicza
12 206,Muchawiec,,,wieś,dr,s,,Św. Trójca,Kościół katolicki ob. greckiego,,"Kołbuk 1998, s. 285.",woł,,,Łuck,Kijów-Wilno,,świątynia główna
12 472,Rostoki,,,wieś,dr,s,,Św. Trójca,Kościół katolicki ob. greckiego,,"Kołbuk 1998, s. 289.",woł,,,Łuck,Kijów-Wilno,,świątynia główna
5 351,Kadobna,,Kadowbne,wieś,dr,k,,Bazyli W,Kościół katolicki ob. greckiego,,"Kołbuk 1998, s. 211 (dek. Perehińsko).",rus,Kałusz,Halicz,Lwów,Kijów-Wilno,,świątynia główna
5 981,Tomaszowce,,,wieś,dr,s,,OfNMP,Kościół katolicki ob. greckiego,,"Kołbuk 1998, s. 217; Skoczylas, Oficjalat Halicz, s. 20.",rus,Kałusz,Halicz,Lwów,Kijów-Wilno,,świątynia główna
5 442,Hołyń,,,wieś,dr,s,,OpNMP,Kościół katolicki ob. greckiego,,"Kołbuk 1998, s. 211 (dek. Perehińsko); Skoczylas, Oficjalat Halicz, s. 33.",rus,Rożniatów,Halicz,Lwów,Kijów-Wilno,,świątynia główna
4 636,Krechowice,,,wieś,dr,s,,ZwNMP,Kościół katolicki ob. greckiego,,"Kołbuk 1998, s. 176.",rus,Dolina,Lwów,Lwów,Kijów-Wilno,,świątynia główna
4 629,Nadziejów,,,wieś,dr,k,,Mikołaj Bp,Kościół katolicki ob. greckiego,,"Kołbuk 1998, s. 176.",rus,Dolina,Lwów,Lwów,Kijów-Wilno,,świątynia główna
6 081,Kołodziejów,,,wieś,dr,s,,Michał A,Kościół katolicki ob. greckiego,,"Kołbuk 1998, s. 217; Skoczylas, Oficjalat Halicz, s. 17.",rus,Kałusz,Halicz,Lwów,Kijów-Wilno,,świątynia główna
23 102,Płoska,,,wieś,,s,,WnNMP,Kościół katolicki ob. greckiego,,"Socjografia, s. 51; SG. VIII, s. 316 (wezwanie z 1870 r.)",brac,Bałta,Kijów,Kijów-Wilno,Kijów-Wilno,,świątynia główna
6 100,Bołochów,,Monasterek Bołochowski,wieś,dr,s,,Michał A,Kościół katolicki ob. greckiego,,"Kołbuk 1998, s. 217; Skoczylas, Oficjalat Halicz, s. 15.",rus,Kałusz,Halicz,Lwów,Kijów-Wilno,,świątynia główna
6 103,Dołha Wojniłowska,,"Dołha Górna, Dołha Dolna",wieś,dr,s,,NarPańskie,Kościół katolicki ob. greckiego,,"Kołbuk 1998, s. 217; Duh, Pawlyszyn, Spis parafii 1782 r. (NPNMP); Skoczylas, Oficjalat Halicz, s. 16.",rus,Kałusz,Halicz,Lwów,Kijów-Wilno,,świątynia główna
5 224,Wiszniów,,,wieś,dr,s,,Cuda Michała A,Kościół katolicki ob. greckiego,,"Kołbuk 1998, s. 201 (Michał A); Skoczylas, Oficjalat Lwów, s. 160.",rus,Żurawno,Lwów,Lwów,Kijów-Wilno,,świątynia główna
23 022,Korytna,,,wieś,,s,,Michał A,Kościół katolicki ob. greckiego,,"Socjografia, s. 50; SG. IV, s. 427.",brac,Bałta,Kijów,Kijów-Wilno,Kijów-Wilno,,świątynia główna
6 020,Łuka,,,wieś,dr,s,,Jan Chryzostom,Kościół katolicki ob. greckiego,,"Kołbuk 1998, s. 217; Skoczylas, Oficjalat Halicz, s. 18.",rus,Kałusz,Halicz,Lwów,Kijów-Wilno,,świątynia główna
23 009,Benzary,,"Bendzary, Bendżary, Będzarówka",wieś,,s,,,Kościół katolicki ob. greckiego,,"Socjografia, s. 49 (Będzarówka).",brac,Bałta,Kijów,Kijów-Wilno,Kijów-Wilno,,świątynia główna
4 414,Żurawno,,,miasto,dr,s,,Sobór Michała A,Kościół katolicki ob. greckiego,,"Kołbuk 1998, s. 201 (Michał A); Skoczylas, Oficjalat Lwów, s. 160.",rus,Żurawno,Lwów,Lwów,Kijów-Wilno,,świątynia główna
17 785,Bobryk Wielki,,,wieś,dr,s,,Demetriusz M,Kościół katolicki ob. greckiego,,"Kołbuk 1998, s. 97; Socjografia, s. 49.",brac,Bałta,Kijów,Kijów-Wilno,Kijów-Wilno,,świątynia główna
6 000,Protesy,,,wieś,dr,s,,Michał A,Kościół katolicki ob. greckiego,,"Kołbuk 1998, s. 217; Skoczylas, Oficjalat Halicz, s. 19.",rus,Kałusz,Halicz,Lwów,Kijów-Wilno,,świątynia główna
18 061,Koniecpol Nowy,,"Koniecpole, Koniecpol",miasto,dr,s,,Demetriusz M,Kościół katolicki ob. greckiego,,"Kołbuk 1998, s. 114 (Koniecpol, przynależność dekanalna wątpliwa).",brac,Targowica,Kijów,Kijów-Wilno,Kijów-Wilno,,świątynia główna
22 998,Kosy,,Kossy,wieś,,s,,NMP,Kościół katolicki ob. greckiego,,"Socjografia, s. 71; SG. IV, s. 479.",brac,Raszków,Kijów,Kijów-Wilno,Kijów-Wilno,,świątynia główna
23 343,Czehryn,,Czehryń,miasto,,,zak,Św. Trójca,Kościół prawosławny,,"Kołbuk 1998, s. 356.",kij,,,Kijów,,,świątynia pomocnicza
4 310,Uście Zielone,,,miasto,dr,s,,Św. Trójca,Kościół katolicki ob. greckiego,,"Kołbuk 1998, s. 216; Skoczylas, Oficjalat Halicz, s. 50.",rus,Uście Zielone,Halicz,Lwów,Kijów-Wilno,,świątynia główna
18 694,Dojban,,,wieś,,s,,,Kościół katolicki ob. greckiego,,"Kołbuk 1998, s. 338 (cerkiew prawosławna, dr); Socjografia, s. 70.",brac,Raszków,Kijów,Kijów-Wilno,Kijów-Wilno,,świątynia główna
17 827,Cebulówka,,Cybulówka,wieś,dr,s,,Michał A,Kościół katolicki ob. greckiego,,"Kołbuk 1998, s. 100; Socjografia, s. 70.",brac,Raszków,Kijów,Kijów-Wilno,Kijów-Wilno,,świątynia główna
18 224,Michalówka,,"Michajłówka, k. Bałty, Michałówka",wieś,dr,s,,,Kościół katolicki ob. greckiego,,"Kołbuk 1998, s. 123; Socjografia, s. 71.",brac,Raszków,Kijów,Kijów-Wilno,Kijów-Wilno,,świątynia główna
3 034,Zagórz,,Zagórz Stary,wieś,mr,s,,WnNMP,Kościół katolicki ob. łacińskiego,,"Litak 1996, s. 398.",rus,Sanok,Brzozów,Przemyśl,Lwów,,świątynia główna
22 448,Uście Zielone,,,miasto,dr,s,,Michał A,Kościół katolicki ob. greckiego,,"Skoczylas, Niedatowanyj rejestr, s. 566; Duh, Pawlyszyn, Spis parafii 1782 r.; Skoczylas, Oficjalat Halicz, s. 50.",rus,Uście Zielone,Halicz,Lwów,Kijów-Wilno,,świątynia główna
2 841,Laszki Murowane,,,miasto,mr,s,,NMP,Kościół katolicki ob. łacińskiego,,"Litak 1996, s. 404.",rus,Nowe Miasto,Przemyśl,Przemyśl,Lwów,,świątynia główna
2 717,Błozew Górna,,Błożew Górna,wieś,,s,,,Kościół katolicki ob. łacińskiego,,"Litak 1996, s. 403 (Błożew).",rus,Nowe Miasto,Przemyśl,Przemyśl,Lwów,,świątynia główna
5 504,Byszów,,,wieś,dr,k,,Jerzy M,Kościół katolicki ob. greckiego,,"Budzyński,  Struktura, s. 140; Kołbuk 1998, s. 196 (lw, dek. Zawałów, s); Duh, Pawlyszyn, Spis parafii 1782 r.; Skoczylas, Oficjalat Halicz, s. 48.",rus,Uście Zielone,Halicz,Lwów,Kijów-Wilno,,świątynia główna
4 510,Złotniki,,,miasto,dr,s,,ZmPańskie,Kościół katolicki ob. greckiego,,"Budzyński, Struktura, s. 139; Kołbuk 1998, s. 182 (dek. Kozłów); Skoczylas, Oficjalat Brzeżany, s. 97 (""Laskawiecka"").",rus,Zarwanica,Brzeżany,Lwów,Kijów-Wilno,,świątynia główna
22 391,Buczacz,,Nagórzanka,miasto,dr,s,,Michał A,Kościół katolicki ob. greckiego,,"Kołbuk 1998, s. 174 (prawdopodobnie jako Nagórzanka); Skoczylas, Niedatowanyj rejestr, s. 565; Duh, Pawlyszyn, Spis parafii 1782 r.; Skoczylas, Oficjalat Brzeżany, s. 61 (na Nagórzance).",rus,Buczacz,Brzeżany,Lwów,Kijów-Wilno,,świątynia główna
4 829,Skorodyńce,,,wieś,dr,s,,Michał A,Kościół katolicki ob. greckiego,,"Kołbuk 1998, s. 175.",rus,Czortków,Brzeżany,Lwów,Kijów-Wilno,,świątynia główna
4 609,Romaszówka,,,wieś,dr,s,,PKrzyża Św,Kościół katolicki ob. greckiego,,"Budzyński, Struktura, s. 135; Kołbuk 1998, s. 180 (dek. Janów); Skoczylas, Oficjalat Brzeżany, s. 62 (Św. Krzyż).",rus,Buczacz,Brzeżany,Lwów,Kijów-Wilno,,świątynia główna
5 191,Medwedowce,,,wieś,dr,s,,WnNMP,Kościół katolicki ob. greckiego,,"Budzyński, Struktura, s. 135; Kołbuk 1998, s. 195 (dek. Zarwanica); Skoczylas, Oficjalat Brzeżany, s. 62.",rus,Buczacz,Brzeżany,Lwów,Kijów-Wilno,,świątynia główna
4 910,Biała,,,wieś,dr,s,,PKrzyża Św,Kościół katolicki ob. greckiego,,"Kołbuk 1998, s. 175.",rus,Czortków,Brzeżany,Lwów,Kijów-Wilno,,świątynia główna
4 825,Tudorów,,,wieś,dr,s,,Mikołaj Bp,Kościół katolicki ob. greckiego,,"Kołbuk 1998, s. 175.",rus,Czortków,Brzeżany,Lwów,Kijów-Wilno,,świątynia główna
4 804,Biały Potok,,,wieś,dr,s,,OpNMP,Kościół katolicki ob. greckiego,,"Kołbuk 1998, s. 175; Skoczylas, Oficjalat Brzeżany, s. 65.",rus,Czortków,Brzeżany,Lwów,Kijów-Wilno,,świątynia główna
4 831,Rydoduby,,,wieś,dr,s,,Kosma i Damian MM,Kościół katolicki ob. greckiego,,"Kołbuk 1998, s. 175.",rus,Czortków,Brzeżany,Lwów,Kijów-Wilno,,świątynia główna
3 464,Czortków,,Czortków Stary,miasto,dr,s,,WnPańskie,Kościół katolicki ob. greckiego,,"Kołbuk 1998, s. 175.",rus,Czortków,Brzeżany,Lwów,Kijów-Wilno,,świątynia główna
2 729,Budzanów,,,miasto,mr,s,,Św. Krzyż,Kościół katolicki ob. łacińskiego,,"Litak 1996, s. 375.",rus,Buczacz,Lwów,Lwów,Lwów,,świątynia główna
4 960,Jabłonów,,,wieś,dr,k,,WnNMP,Kościół katolicki ob. greckiego,,"Kołbuk 1998, s. 180 (s); Skoczylas, Oficjalat Brzeżany, s. 71.",rus,Janów,Brzeżany,Lwów,Kijów-Wilno,,świątynia główna
3 647,Jezupol,,,miasto,dr,s,,Mikołaj Bp,Kościół katolicki ob. greckiego,,"Kołbuk 1998, s. 204; Skoczylas, Oficjalat Halicz, s. 9 (Przedmieście Halickie).",rus,Halicz,Halicz,Lwów,Kijów-Wilno,,świątynia główna
5 053,Zwiniacz,,,wieś,dr,s,,NarNMP,Kościół katolicki ob. greckiego,,"Budzyński, Struktura, s. 136; Kołbuk 1998, s. 175 (dek. Czortków); Skoczylas, Oficjalat Brzeżany, s. 73.",rus,Janów,Brzeżany,Lwów,Kijów-Wilno,,świątynia główna
