ob_id,name,province,s_province,pl_type,pl_name,pl_name_v,pal_name,diocese,kind,title,comment,source,pl_name_de,category
3 330,Brygidki - Ordo Sanctissimi Salvatoris; Ordo Sanctae Brigittae,,,miasto,Sambor,,rus,Przemyśl,,,,"EK, t. 2, kolum. 1118-1119; J. Fankidejski, Klasztory, s. 64; W. Chotkowski,
Historia polityczna, s. 109; Kurczewski, s. 139; S. Kamińska, Klasztory
brygidek w Gdańsku, Elblągu i Lublinie, Gdańsk 1970, s. 52-280.  SG V, s. 230; J. Kłoczowski, Zakony w diecezji przemyskiej, s. 37.",,z
3 331,Klaryski - Ordo Sanctae Clarae,,,miasto,Zamość,,rus,Chełm,,,,"EKN, t. 5, s. 584-589; PEK, t. 21-22, s. 113-115; K. Kantak, Franciszkanie polscy, t. 2, Kraków 1938, s. 329-372.  K. Kantak, Franciszkanie, t. 2, s. 348: obok kościoła franciszkanów.",,z
3 332,Dominikanki - Moniales Ordinis Praedicatorum,,,miasto,Żółkiew,,rus,Lwów,,,,"PEK t. 9-10, s. 90-91; EK t. 4, kolum. 84-85; W. Chotkowski, Ks[ięcia] prymasa, s. 125-128; tenże, Historia polityczna, s. 117-125; S. Barącz, Rys
dziejów zakonu kaznodziejskiego w Polsce, t. 2, Lwów 1861, s. 517-526.",,z
6 476,Brygidki - Ordo Sanctissimi Salvatoris; Ordo Sanctae Brigittae,,,miasto,Sokal,,beł,Chełm,,Michał A,,"EK, t. 2, kolum. 1118-1119; J. Fankidejski, Klasztory, s. 64; W. Chotkowski,
Historia polityczna, s. 109; Kurczewski, s. 139; S. Kamińska, Klasztory
brygidek w Gdańsku, Elblągu i Lublinie, Gdańsk 1970, s. 52-280.",,z
6 477,Dominikanki - Moniales Ordinis Praedicatorum,,,miasto,Bełz,,beł,Chełm,,NPNMP,,"PEK t. 9-10, s. 90-91; EK t. 4, kolum. 84-85; W. Chotkowski, Ks[ięcia] prymasa, s. 125-128; tenże, Historia polityczna, s. 117-125; S. Barącz, Rys
dziejów zakonu kaznodziejskiego w Polsce, t. 2, Lwów 1861, s. 517-526.",,z
7 400,Bernardynki - Moniales Tertii Ordinis Regularis Sancti Francisci Assisiensis,,,miasto,Brześć Litewski,,brzlit,Łuck,,NPNMP,,"Relacje o stanie diecezji krakowskiej 1615-1765, s. 143 (rel. z 1751 r.);
K. Kantak, Bernardyni w Polsce, t. 2, Lwów 1933, s. 357-390; R. Gustaw,
Klasztor św. Józefa ss. Bernardynek w Krakowie. 1646-1946, Kraków 1947
(Kraków: św. Agnieszka; św. Józef).",,z
7 401,Brygidki - Ordo Sanctissimi Salvatoris; Ordo Sanctae Brigittae,,,miasto,Brześć Litewski,,brzlit,Łuck,,ZwNMP,,"EK, t. 2, kolum. 1118-1119; J. Fankidejski, Klasztory, s. 64; W. Chotkowski,
Historia polityczna, s. 109; Kurczewski, s. 139; S. Kamińska, Klasztory
brygidek w Gdańsku, Elblągu i Lublinie, Gdańsk 1970, s. 52-280.  ADS D130, k. 415 (AV z 1723 r.); ib. D159, k. 36-37 (dok. Fundacyjny
z 1710 r.).",,z
7 402,Mariawitki - Congregatio Mariae Vitae,,,miasto,Pińsk,,brzlit,Łuck,,,,"PEK, t. 26-27, s. 344; EKN, t. 13, s. 543-545; L. G. Wiadomość o założeniu
zgromadzenia duchownego Sióstr Mariae Vitae, mariawitkami
zwanych, „Pamiętnik Religijno-Moralny”, Seria I, t. 5, 1843, s. 523-532;
K. Górski, O zakonie panien mariawitek, NP, t. 9, 1959, s. 395-409; Janicka-
Olczakowa, Zakony żeńskie, s. 761; M. Borkowska, Dzieje zgromadzenia
Mariae Vitae, NP, t. 93, 2000, s. 107-152; S. Litak, Powstanie i rozwój
opiekuńczo-szkolnego zgromadzenia Mariawitek w Wielkim Księstwie Litewskim
do 1774 r., w: Z badań nad historią, oświatą i kulturą. Studia
ofiarowane Ryszardowi W. Wołoszyńskiemu w siedemdziesiątą rocznicę
urodzin i czterdziestą piątą pracy naukowej. Pod red. J. Kukulskiego,
Piotrków Trybunalski 2001, s. 289-302.",,z
7 403,Szarytki - Institutum Puellarum Sancti Vincenti a Paulo,,,miasto,Biała,,brzlit,Łuck,,,"PEK, t. 35-36, s. 271-274; M. Świątecka, Św. Wincenty a Polska, NP, t. 11, 1960, s. 35-100; A. Schletz, Zarys historii sióstr miłosierdzia w Polsce. (Karta z dziejów społecznych Kościoła), NP, t. 12, 1960, s. 59-172. Por. W. Chotkowski, Historia polityczna, s. 312-353; Janicka-Olczakowa, Zakony żeńskie, s. 738, 759-760.","PEK, t. 35-36, s. 271-274; M. Świątecka, Św. Wincenty a Polska, NP,
t. 11, 1960, s. 35-100; A. Schletz, Zarys historii sióstr miłosierdzia w Polsce.
(Karta z dziejów społecznych Kościoła), NP, t. 12, 1960, s. 59-172. Por. W.
Chotkowski, Historia polityczna, s. 312-353; Janicka-Olczakowa, Zakony
żeńskie, s. 738, 759-760.  ADS D158, k. 10v-15v (Dokument fundacyjny z 1716 r.).",,z
8 251,Karmelitanki bose - Ordo Beatae Mariae Virginis de Monte Carmelo; Carmelitanarum Discalceatarum,,,miasto,Kraków,,kr,Kraków,,Marcin Bp,,"Relacje o stanie diecezji krakowskiej, s. 143, 173 (rel. Z 1751
i 1765 r.); AKS, teczka poznańska. Relacja o stanie diecezji Poznańskiej
z 1783 r.; PEK t. 19-20, s. 351-353.",,z
8 253,Bernardynki - Moniales Tertii Ordinis Regularis Sancti Francisci Assisiensis,,,miasto,Kraków,,kr,Kraków,,Agnieszka PM,,"Relacje o stanie diecezji krakowskiej 1615-1765, s. 143 (rel. z 1751 r.);
K. Kantak, Bernardyni w Polsce, t. 2, Lwów 1933, s. 357-390; R. Gustaw,
Klasztor św. Józefa ss. Bernardynek w Krakowie. 1646-1946, Kraków 1947
(Kraków: św. Agnieszka; św. Józef).",,z
8 254,Bernardynki - Moniales Tertii Ordinis Regularis Sancti Francisci Assisiensis,,,miasto,Kraków,,kr,Kraków,,Św. Józef,,"Relacje o stanie diecezji krakowskiej 1615-1765, s. 143 (rel. z 1751 r.);
K. Kantak, Bernardyni w Polsce, t. 2, Lwów 1933, s. 357-390; R. Gustaw,
Klasztor św. Józefa ss. Bernardynek w Krakowie. 1646-1946, Kraków 1947
(Kraków: św. Agnieszka; św. Józef).",,z
8 255,Dominikanki - Moniales Ordinis Praedicatorum,,,miasto,Kraków,,kr,Kraków,klasztor mniejszy,,,"PEK t. 9-10, s. 90-91; EK t. 4, kolum. 84-85; W. Chotkowski, Ks[ięcia] prymasa, s. 125-128; tenże, Historia polityczna, s. 117-125; S. Barącz, Rys
dziejów zakonu kaznodziejskiego w Polsce, t. 2, Lwów 1861, s. 517-526.",,z
8 256,Dominikanki - Moniales Ordinis Praedicatorum,,,miasto,Kraków,,kr,Kraków,klasztor wiekszy,,,"PEK t. 9-10, s. 90-91; EK t. 4, kolum. 84-85; W. Chotkowski, Ks[ięcia] prymasa, s. 125-128; tenże, Historia polityczna, s. 117-125; S. Barącz, Rys
dziejów zakonu kaznodziejskiego w Polsce, t. 2, Lwów 1861, s. 517-526.",,z
8 257,Dominikanki - Moniales Ordinis Praedicatorum,,,miasto,Kraków-Gródek,,kr,Kraków,,NMPŚ,,"PEK t. 9-10, s. 90-91; EK t. 4, kolum. 84-85; W. Chotkowski, Ks[ięcia] prymasa, s. 125-128; tenże, Historia polityczna, s. 117-125; S. Barącz, Rys
dziejów zakonu kaznodziejskiego w Polsce, t. 2, Lwów 1861, s. 517-526.",,z
8 258,Duchaczki - Congreatio Sororum Canonissarum Spiritus Sancti,,,miasto,Kraków,,kr,Kraków,,Św. Duch,,"PEK t. 19-20, s. 284; EK t. 4, kolum. 303.",,z
8 260,Karmelitanki bose - Ordo Beatae Mariae Virginis de Monte Carmelo; Carmelitanarum Discalceatarum,,,miasto,Kraków,,kr,Kraków,,"Tersa od Jezusa, Jan od Krzyża",,"Relacje o stanie diecezji krakowskiej, s. 143, 173 (rel. Z 1751
i 1765 r.); AKS, teczka poznańska. Relacja o stanie diecezji Poznańskiej
z 1783 r.; PEK t. 19-20, s. 351-353.",,z
8 261,Wizytki - Siostry Nawiedzenia NMP - Ordo Visitationis Beatae Mariae Virginis,,,miasto,Kraków,,kr,Kraków,,Frasnciszek S,,"EKN, t. 31, s. 538-551; M. Świątecka, Święty Wincenty, 35-100; Janicka-
Olczakowa, Zakony żeńskie, s. 738-759.  Historia krakowskiego klasztoru Sióstr Nawiedzenia NMP (P.P Wizytek)
zaczerpnięta ze starych kronik i aktów, a wydana z okazji 250-lecia
istnienia klasztoru 1681-1931, Kraków 1931; F. S. Ignaszewska, Historia
fundacji klasztoru SS. Nawiedzenia NMP (Wizytek) w Krakowie (1681-
1699), NP, t. 59, 1982, s. 5-93.",,z
8 262,Klaryski - Ordo Sanctae Clarae,,,miasto,Kraków,,kr,Kraków,,Andrzej Ap,,"EKN, t. 5, s. 584-589; PEK, t. 21-22, s. 113-115; K. Kantak, Franciszkanie polscy, t. 2, Kraków 1938, s. 329-372.  K. Kantak, Franciszkanie, t. 2, s. 345.",,z
8 263,Norbertanki premonstratenski - Ordo Monialium Premonstratensis,,,wieś,Kraków-Zwierzyniec,,kr,Kraków,,"Augustyn O, Jan Ch",,"N. Backmund, Monasticon Premanstratense, t. 1, cz. 2, Berlin
1983, s. 402-433; A. Żak, Norbertanie i norbertanki w Polsce, „Przegląd
Powszechny”, t. 37, 1920, s. 321-328; EKN, t. 16, s. 340-398; Janicka-Olczakowa,
Zakony żeńskie, s. 748.  K. Kramarska-Anyszek, Dzieje klasztoru PP. Norbertanek w Krakowie
na Zwierzyńcu, cz. I, NP, t. 47, 1977, s. 5-169.",,z
8 264,Norbertanki premonstratenski - Ordo Monialium Premonstratensis,,,miasto,Kraków,,kr,Kraków,,Norbert,,"N. Backmund, Monasticon Premanstratense, t. 1, cz. 2, Berlin
1983, s. 402-433; A. Żak, Norbertanie i norbertanki w Polsce, „Przegląd
Powszechny”, t. 37, 1920, s. 321-328; EKN, t. 16, s. 340-398; Janicka-Olczakowa,
Zakony żeńskie, s. 748.",,z
8 265,Prezentki - Congregatio Virginum a Praesentatione Beatae Mariae Virginis,,,miasto,Kraków,,kr,Kraków,,"Jan Ch, Jan Ew",,"J. Bar, Zarys zgromadzenia panien prezentek, NP, t. 10, 1960, s. 209-
245; R. Gąsior, T. Matuła, Szkoła Sióstr Prezentek w Krakowie w latach
1627-1918, Lublin 1998, s. 27-135; R. Gąsior, Pozwoliła się prowadzić Duchowi
Świętemu. Zofia z Maciejowskich Czeska (1584-1650). Założycielka
szkoły i Zgromadzenia Sióstr Ofiarowania Najświetszej Maryi Panny (Prezentek),
Kraków 2005.",,z
8 267,Klaryski - Ordo Sanctae Clarae,,,miasto,Stary Sącz,,kr,Kraków,,Św. Trójca,,"EKN, t. 5, s. 584-589; PEK, t. 21-22, s. 113-115; K. Kantak, Franciszkanie polscy, t. 2, Kraków 1938, s. 329-372.",,z
8 268,Benedyktynki - Ordo Monialium Sancti Benedicti,Kongregacja staniątecka,,wieś,Staniątki,,kr,Kraków,,"NMP, Wojciech Bp",,"J. Fankidejski, Klasztory żeńskie w dyecezyi chełmińskiej, Pelplin
1883, s. 86-226; W. Chotkowski, Historia polityczna dawnych klasztorów
panieńskich w Galicji (1773-1848), Kraków 1905, s. 114; EK, t. 2, Lublin
1985, klum. 256-258. Por. Janicka-Olczakowa, Zakony żeńskie, s. 743‑746.",,z
9 027,Norbertanki premonstratenski - Ordo Monialium Premonstratensis,,,miasto,Busko,,san,Kraków,,NPNMP,,"N. Backmund, Monasticon Premanstratense, t. 1, cz. 2, Berlin
1983, s. 402-433; A. Żak, Norbertanie i norbertanki w Polsce, „Przegląd
Powszechny”, t. 37, 1920, s. 321-328; EKN, t. 16, s. 340-398; Janicka-Olczakowa,
Zakony żeńskie, s. 748.  SG I, s. 479; Katalog duchowieństwa i parafii diecezji kieleckiej
1985, Kielce 1985, s. 80. Według N. Backmund’a (Monasticon, t. 1, s. 407)
wezwanie: Leonard O.",,z
9 028,Klaryski - Ordo Sanctae Clarae,,,miasto,Chęciny,,san,Gniezno,,Maria Magdalena,,"EKN, t. 5, s. 584-589; PEK, t. 21-22, s. 113-115; K. Kantak, Franciszkanie polscy, t. 2, Kraków 1938, s. 329-372.  PEK, t. 21-22, s. 115.",,z
9 029,Bernardynki - Moniales Tertii Ordinis Regularis Sancti Francisci Assisiensis,,,wieś,Drzewica,,san,Gniezno,,Stanisław Bp,,"Relacje o stanie diecezji krakowskiej 1615-1765, s. 143 (rel. z 1751 r.);
K. Kantak, Bernardyni w Polsce, t. 2, Lwów 1933, s. 357-390; R. Gustaw,
Klasztor św. Józefa ss. Bernardynek w Krakowie. 1646-1946, Kraków 1947
(Kraków: św. Agnieszka; św. Józef).",,z
9 030,Benedyktynki - Ordo Monialium Sancti Benedicti,Kongregacja orientacji chełmińskiej,,miasto,Radom,,san,Kraków,,,,"M. Borkowska, Liczebność i skład osobowy klasztorów benedyktynek
kongregacji chełmińskiej, NP, t. 49, 1978, s. 245-246; taż, Benedyktynki, EK,
2, kolum. 256-258; A. Szylar, Działalność oświatowa benedyktynek sandomierskich
w latach 1616-1865. TNKUL, Lublin 2002, s. 63-74. SG IX, s. 405: miały kościół.",,z
9 031,Benedyktynki - Ordo Monialium Sancti Benedicti,Kongregacja orientacji chełmińskiej,,miasto,Sandomierz,,san,Kraków,,Michał Ap,,"M. Borkowska, Liczebność i skład osobowy klasztorów benedyktynek
kongregacji chełmińskiej, NP, t. 49, 1978, s. 245-246; taż, Benedyktynki, EK,
2, kolum. 256-258; A. Szylar, Działalność oświatowa benedyktynek sandomierskich
w latach 1616-1865. TNKUL, Lublin 2002, s. 63-74. EKN, t. 24, s. 343; A. Szylar, Działalność oświatowa, s. 56-72",,z
9 032,Klaryski - Ordo Sanctae Clarae,,,miasto,Tarnów,,san,Kraków,,Stanisław Bp,,"EKN, t. 5, s. 584-589; PEK, t. 21-22, s. 113-115; K. Kantak, Franciszkanie polscy, t. 2, Kraków 1938, s. 329-372.  SG XII, s. 198: obok klasztoru bernardynów.",,z
9 209,Wizytki - Siostry Nawiedzenia NMP - Ordo Visitationis Beatae Mariae Virginis,,,miasto,Lublin,,lub,Kraków,,Serce Jezusa i NawNMP,"EKN, t. 31, s. 538-551; M. Świątecka, Święty Wincenty, 35-100; Janicka-Olczakowa, Zakony żeńskie, s. 738-759.","EKN, t. 31, s. 538-551; M. Świątecka, Święty Wincenty, 35-100; Janicka-
Olczakowa, Zakony żeńskie, s. 738-759.  Według planu Lublina z 1772 r., S. Litak, Struktura terytorialna
Kościoła łacińskiego w Polsce w 1772 roku, Lublin 1980, mapa XXIV.",,z
13 090,Kanonicy regularni laterańscy - Canonici Regularis Lateranensis,Kongregacja trzemeszeńska,,wieś,Bytoń,,brzkuj,Włocławek,par.,Jakuba W Ap,,"ZM, s. 245-247 (tamże, podstawa źródłowa).",,m
9 210,Szarytki - Institutum Puellarum Sancti Vincenti a Paulo,,,miasto,Lublin,,lub,Kraków,,Wojciech Bp,,"PEK, t. 35-36, s. 271-274; M. Świątecka, Św. Wincenty a Polska, NP,
t. 11, 1960, s. 35-100; A. Schletz, Zarys historii sióstr miłosierdzia w Polsce.
(Karta z dziejów społecznych Kościoła), NP, t. 12, 1960, s. 59-172. Por. W.
Chotkowski, Historia polityczna, s. 312-353; Janicka-Olczakowa, Zakony
żeńskie, s. 738, 759-760.",,z
9 211,Karmelitanki bose - Ordo Beatae Mariae Virginis de Monte Carmelo; Carmelitanarum Discalceatarum,,,miasto,Lublin,,lub,Kraków,,NPNMP,,"Relacje o stanie diecezji krakowskiej, s. 143, 173 (rel. Z 1751
i 1765 r.); AKS, teczka poznańska. Relacja o stanie diecezji Poznańskiej
z 1783 r.; PEK t. 19-20, s. 351-353.",,z
9 212,Karmelitanki bose - Ordo Beatae Mariae Virginis de Monte Carmelo; Carmelitanarum Discalceatarum,,,miasto,Lublin,,lub,Kraków,,Józef,,"Relacje o stanie diecezji krakowskiej, s. 143, 173 (rel. Z 1751
i 1765 r.); AKS, teczka poznańska. Relacja o stanie diecezji Poznańskiej
z 1783 r.; PEK t. 19-20, s. 351-353.",,z
9 213,Brygidki - Ordo Sanctissimi Salvatoris; Ordo Sanctae Brigittae,,,miasto,Lublin,,lub,Kraków,,NMPZ,,"EK, t. 2, kolum. 1118-1119; J. Fankidejski, Klasztory, s. 64; W. Chotkowski,
Historia polityczna, s. 109; Kurczewski, s. 139; S. Kamińska, Klasztory
brygidek w Gdańsku, Elblągu i Lublinie, Gdańsk 1970, s. 52-280.  M. Borkowska, Miscellanea brygitańskie. Dwie fazy reformy potrydenckiej klasztoru lubelskiego, NP, t. 89, 1998, s. 125-150.",,z
